Model,Year,Category,Rating,Displacement,Engine type,Power,Compression,Bore x stroke,Valves per cylinder,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Top speed,Max RPM,Fuel system,Starter,Torque,Lubrication system,Front suspension,Rear suspension,Diameter,Dry weight,Power/weight ratio,Seat height,Overall length,Wheelbase,Color options,Ignition,Clutch,Exhaust system,Fuel consumption,Greenhouse gases,Frame type,Rake (fork angle),Front wheel travel,Rear wheel travel,Overall height,Overall width,Reserve fuel capacity,Oil capacity,Modifications compared to previous model,Instruments,Engine oil,Oil filter,Brake fluid,Battery,Spark plugs,Idle speed,Sprockets,Belt teeth,Belt width,Tire pressure front,Tire pressure rear,Fork tube size,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Front percentage of weight,Rear percentage of weight,Alternate seat height,Ground clearance,Comments,Trail,Coolant,Chain size,Chain links
Husqvarna 125 WRK,1992,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 8500 RPM,15.5:1,56.0 x 50.6 mm (2.2 x 2.0 inches),,Membrane & variable discharge openings,Liquid,6-speed,Chain   (final drive),90/90-21 ,120/90-18 ,Single disc,Expanding brake,91.0 kg (200.6 pounds),8.00 litres (2.11 US gallons),95.0 km/h (59.0 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda NX 650 Dominator (reduced effect),1992,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,644.0 ccm (39.30 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 5500 RPM,8.3:1,100.0 x 82.0 mm (3.9 x 3.2 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),90/90-21 ,130/80-17 ,Single disc,Single disc,178.0 kg (392.4 pounds),13.00 litres (3.43 US gallons),128.0 km/h (79.5 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 750,1992,Sport touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",747.0 ccm (45.58 cubic inches),"In-line four, four-stroke",74.0 HP (54.0  kW)) @ 8500 RPM,9.3:1,67.0 x 53.0 mm (2.6 x 2.1 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),120/70-17 ,150/70-17 ,Single disc,Single disc,233.0 kg (513.7 pounds),20.00 litres (5.28 US gallons),196.0 km/h (121.8 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 1100 F,1992,Sport touring," 4.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1127.0 ccm (68.77 cubic inches),"In-line four, four-stroke",136.0 HP (99.3  kW)) @ 9500 RPM,10.0:1,78.0 x 59.0 mm (3.1 x 2.3 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),120/80-16 ,150/80-16 ,Dual disc,Single disc,273.0 kg (601.9 pounds),21.00 litres (5.55 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dnepr MT 16 (with sidecar),1992,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",650.0 ccm (39.66 cubic inches),"Two cylinder boxer, four-stroke",38.0 HP (27.7  kW)) @ 5900 RPM,8.5:1,78.0 x 68.0 mm (3.1 x 2.7 inches),2,Overhead Valves (OHV),Air,4-speed with reverse,Shaft drive (cardan)   (final drive),3.75-19 ,3.75-19 ,Expanding brake,Expanding brake,365.0 kg (804.7 pounds),19.00 litres (5.02 US gallons),125.0 km/h (77.7 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ 600 S Diversion (reduced effect #2),1992,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",27.0 HP (19.7  kW)) @ 7500 RPM,10.0:1,58.5 x 55.7 mm (2.3 x 2.2 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),110/80-17 ,130/70-18 ,Single disc,Single disc,208.0 kg (458.6 pounds),17.00 litres (4.49 US gallons),133.0 km/h (82.6 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XV 535 (reduced effect),1992,Custom / cruiser," 3.0  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",535.0 ccm (32.65 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 6000 RPM,9.0:1,76.0 x 59.0 mm (3.0 x 2.3 inches),2,Overhead Cams (OHC),Air,5-speed,Shaft drive (cardan)   (final drive),90/90-19 ,140/90-15 ,Single disc,Expanding brake,220.0 kg (485.0 pounds),13.50 litres (3.57 US gallons),128.0 km/h (79.5 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXR 1340 Super Glide,1992,Custom / cruiser," 3.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",49.0 HP (35.8  kW)) @ 5000 RPM,8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Belt   (final drive),MM 90-19 ,MT 90-16 ,Single disc,Single disc,276.0 kg (608.5 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 80 GS,1992,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",797.0 ccm (48.63 cubic inches),"Two cylinder boxer, four-stroke",50.0 HP (36.5  kW)) @ 6500 RPM,8.2:1,84.8 x 70.6 mm (3.3 x 2.8 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),90/90-21 ,130/80-17 ,Single disc,Expanding brake,225.0 kg (496.0 pounds),26.00 litres (6.87 US gallons),150.0 km/h (93.2 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 80 RT (reduced effect),1992,Touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,797.0 ccm (48.63 cubic inches),"Two cylinder boxer, four-stroke",27.0 HP (19.7  kW)) @ 5500 RPM,8.2:1,84.8 x 70.6 mm (3.3 x 2.8 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),90/90-18 ,120/90-18 ,Dual disc,Expanding brake,243.0 kg (535.7 pounds),22.00 litres (5.81 US gallons),145.0 km/h (90.1 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Daytona 750 (reduced effect #2),1992,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,748.0 ccm (45.64 cubic inches),"In-line three, four-stroke",27.0 HP (19.7  kW)) @ 7000 RPM,11.0:1,76.0 x 55.0 mm (3.0 x 2.2 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),120/70-17 ,160/60-18 ,Dual disc,Single disc,260.0 kg (573.2 pounds),25.00 litres (6.61 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ural M 67-6,1992,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,650.0 ccm (39.66 cubic inches),"Two cylinder boxer, four-stroke",38.0 HP (27.7  kW)) @ 5700 RPM,7.0:1,78.0 x 68.0 mm (3.1 x 2.7 inches),2,Overhead Valves (OHV),Air,4-speed,Shaft drive (cardan)   (final drive),4.00-18 ,4.00-18 ,Expanding brake,Expanding brake,215.0 kg (474.0 pounds),19.00 litres (5.02 US gallons),140.0 km/h (87.0 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FZ 150 N,1992,Naked bike," 3.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",149.0 ccm (9.09 cubic inches),"Twin, four-stroke",17.4 HP (12.7  kW)) @ 11000 RPM,10.7:1,45.0 x 47.0 mm (1.8 x 1.9 inches),2,Overhead Cams (OHC),Air,,Chain   (final drive),90/80-17 ,100/80-17 ,Single disc,Expanding brake (drum brake),148.0 kg (326.3 pounds),10.00 litres (2.64 US gallons),130.0 km/h (80.8 mph),12000,Carburettor. BDS26/2/MIKUNI,Electric & kick,,Wet sump,,,,,,"750 mm (29.5 inches) If adjustable, lowest setting.",1965 mm (77.4 inches),1345 mm (53.0 inches),,,Wet plate,Single stainless steel pipes,3.00 litres/100 km (33.3 km/l or 78.41 mpg),69.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,diamond-shaped Aluminum frame,25.5°,140 mm (5.5 inches),112 mm (4.4 inches),1065 mm (41.9 inches),680 mm (26.8 inches),1.90 litres (0.50 US gallons),,,,,,,,,,,,,,,,,,,,,145 mm (5.7 inches),Taiwan version of FZ. Engine is transplated from SRV250.,89 mm (3.5 inches),,,
Ducati 900 SS Super Sport,1992,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",904.0 ccm (55.16 cubic inches),"V2, four-stroke",73.0 HP (53.3  kW)) @ 7000 RPM,9.2:1,92.0 x 68.0 mm (3.6 x 2.7 inches),2,Desmodromic valve control,Air,6-speed,Chain   (final drive),120/70-17 ,170/60-17 ,Dual disc,Single disc,198.0 kg (436.5 pounds),17.50 litres (4.62 US gallons),213.0 km/h (132.4 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilera RC 600 C,1992,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",558.0 ccm (34.05 cubic inches),"Single cylinder, four-stroke",46.0 HP (33.6  kW)) @ 7000 RPM,10.5:1,98.0 x 74.0 mm (3.9 x 2.9 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Chain   (final drive),90/90-21 ,130/80-17 ,Single disc,Single disc,174.0 kg (383.6 pounds),11.50 litres (3.04 US gallons),161.0 km/h (100.0 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 100 RT,1992,Sport touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",979.0 ccm (59.74 cubic inches),"Two cylinder boxer, four-stroke",60.0 HP (43.8  kW)) @ 6500 RPM,8.4:1,94.0 x 70.6 mm (3.7 x 2.8 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),90/90-18 ,120/90-18 ,Dual disc,Expanding brake,238.0 kg (524.7 pounds),22.00 litres (5.81 US gallons),168.0 km/h (104.4 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna 250 WRK,1992,Enduro / offroad," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 5500 RPM,13.5:1,70.0 x 64.8 mm (2.8 x 2.6 inches),,Membrane & variable discharge openings,Liquid,6-speed,Chain   (final drive),90/90-21 ,140/80-18 ,Single disc,Expanding brake,101.0 kg (222.7 pounds),8.50 litres (2.25 US gallons),110.0 km/h (68.4 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki EL 250 E,1992,Classic," 4.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 11800 RPM,12.4:1,62.0 x 41.2 mm (2.4 x 1.6 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),100/90-17 ,140/90-15 ,Single disc,Expanding brake,159.0 kg (350.5 pounds),11.00 litres (2.91 US gallons),135.0 km/h (83.9 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FJ 1200 A (ABS) (reduced effect),1992,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1188.0 ccm (72.49 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 8500 RPM,9.7:1,77.0 x 63.8 mm (3.0 x 2.5 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),120/70-17 ,150/80-16 ,Dual disc,Single disc,280.0 kg (617.3 pounds),22.00 litres (5.81 US gallons),218.0 km/h (135.5 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Low Rider Convertible,1992,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",49.0 HP (35.8  kW)) @ 5000 RPM,8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Belt   (final drive),MM 90-19 ,MT 90-16 ,Dual disc,Single disc,277.0 kg (610.7 pounds),16.00 litres (4.23 US gallons),144.0 km/h (89.5 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 500 S (reduced effect),1992,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,499.0 ccm (30.45 cubic inches),"Twin, four-stroke",50.0 HP (36.5  kW)) @ 9300 RPM,10.8:1,74.0 x 58.0 mm (2.9 x 2.3 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),100/90-16 ,120/90-16 ,Dual disc,Expanding brake,196.0 kg (432.1 pounds),18.00 litres (4.76 US gallons),189.0 km/h (117.4 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ ETZ 251,1992,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",243.0 ccm (14.83 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 5000 RPM,10.0:1,69.0 x 65.0 mm (2.7 x 2.6 inches),,Port control,Air,5-speed,Chain   (final drive),90/90-18 ,110/80-16 ,Single disc,Expanding brake,146.0 kg (321.9 pounds),17.00 litres (4.49 US gallons),115.0 km/h (71.5 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VT 600 C,1992,Allround," 3.8  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",583.0 ccm (35.57 cubic inches),"V2, four-stroke",41.0 HP (29.9  kW)) @ 6500 RPM,9.2:1,75.0 x 66.0 mm (3.0 x 2.6 inches),3,Overhead Cams (OHC),Liquid,4-speed,Chain   (final drive),100/90-19 ,170/80-15 ,Single disc,Expanding brake,212.0 kg (467.4 pounds),9.00 litres (2.38 US gallons),143.0 km/h (88.9 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZXR 750 (reduced effect),1992,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 10500 RPM,10.8:1,71.0 x 47.3 mm (2.8 x 1.9 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),120/70-17 ,180/55-17 ,Dual disc,Single disc,231.0 kg (509.3 pounds),18.00 litres (4.76 US gallons),231.0 km/h (143.5 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR 650 RS,1992,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",640.0 ccm (39.05 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 5800 RPM,9.7:1,95.0 x 90.4 mm (3.7 x 3.6 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),90/90-21 ,120/90-17 ,Single disc,Single disc,184.0 kg (405.7 pounds),20.00 litres (5.28 US gallons),130.0 km/h (80.8 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XT 350,1992,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 7000 RPM,9.0:1,86.0 x 59.6 mm (3.4 x 2.3 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),3.00-21 ,110/80-18 ,Single disc,Expanding brake,150.0 kg (330.7 pounds),12.00 litres (3.17 US gallons),116.0 km/h (72.1 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM Enduro 600 LC 4 Competition,1992,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,553.0 ccm (33.74 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6000 RPM,9.5:1,95.0 x 78.0 mm (3.7 x 3.1 inches),4,Overhead Cams (OHC),Liquid,5-speed,Chain   (final drive),3.00-21 ,140/80-18 ,Single disc,Single disc,122.0 kg (269.0 pounds),9.00 litres (2.38 US gallons),115.0 km/h (71.5 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 600 F (reduced effect #2),1992,Sport," 2.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",27.0 HP (19.7  kW)) @ 8200 RPM,11.3:1,62.6 x 48.7 mm (2.5 x 1.9 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),110/80-17 ,140/80-17 ,Dual disc,Single disc,223.0 kg (491.6 pounds),20.00 litres (5.28 US gallons),150.0 km/h (93.2 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLHTC 1340 Electra Glide Classic (reduced effect),1992,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1337.0 ccm (81.58 cubic inches),"V2, four-stroke",46.0 HP (33.6  kW)) @ 5000 RPM,8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Belt   (final drive),MT90-16T ,MT90-16T ,Dual disc,Single disc,350.0 kg (771.6 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Daytona 1000,1992,Sport touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",998.0 ccm (60.90 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 9800 RPM,11.0:1,76.0 x 55.0 mm (3.0 x 2.2 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),120/70-17 ,160/60-18 ,Dual disc,Single disc,268.0 kg (590.8 pounds),25.00 litres (6.61 US gallons),239.0 km/h (148.5 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hercules K 180 Military,1992,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",178.0 ccm (10.86 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 5500 RPM,10.8:1,61.0 x 61.0 mm (2.4 x 2.4 inches),,Port control,Air,5-speed,Chain   (final drive),3.25-18 ,3.25-18 ,Expanding brake,Expanding brake,135.0 kg (297.6 pounds),15.00 litres (3.96 US gallons),110.0 km/h (68.4 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 75 RT,1992,Touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",740.0 ccm (45.15 cubic inches),"In-line three, four-stroke",75.0 HP (54.7  kW)) @ 8500 RPM,11.0:1,67.0 x 70.0 mm (2.6 x 2.8 inches),2,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),100/90-18 ,130/90-17 ,Dual disc,Single disc,258.0 kg (568.8 pounds),21.00 litres (5.55 US gallons),174.0 km/h (108.1 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
