Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,Compression,Bore x stroke,Valves per cylinder,Fuel system,Fuel control,Ignition,Cooling system,Gearbox,Transmission type,Clutch,Driveline,Frame type,Trail,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Power/weight ratio,Seat height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Electrical,Comments,Lubrication system,Rake (fork angle),Wheels,"Weight incl. oil, gas, etc",Overall height,Carrying capacity,Engine details,Fuel consumption,Greenhouse gases,Alternate seat height,Oil capacity,Light,Exhaust system,Instruments,Factory warranty,Emission details,Seat,Oil filter,Brake fluid,Battery,Spark plugs,Belt teeth,Belt width,Pulley teeth,Fork tube size,Reserve fuel capacity,Max RPM,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Engine oil,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Modifications compared to previous model,Coolant
Bimota DB8 Oronero,2016,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1198.0 ccm (73.10 cubic inches),"V2, four-stroke",169.0 HP (123.4  kW)) @ 9750 RPM,128.0 Nm (13.1 kgf-m or 94.4 ft.lbs) @ 8000 RPM,280.0 km/h (174.0 mph),12.7:1,106.0 x 67.9 mm (4.2 x 2.7 inches),4,Injection. Electronic fuel injection Bimota by Athena,Desmodromic valve control,,Liquid,6-speed,Chain   (final drive),"Dry, multi-disc",,Carbon fiber front trellis and swingarm with aluminum plates.,100 mm (3.9 inches),Ohlins 43mm preload -fully adjustable and DLC treated upside-down forks,,Ohlins preload-fully adjustable top and lower speed monoshock,,120/70-ZR17 ,190/55-ZR17 ,"Double disc. Monoblock, Bremo.",220 mm (8.7 inches),Single disc. 2 piston Brembo calipers.,174.0 kg (383.6 pounds),0.9713 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",2040 mm (80.3 inches),730 mm (28.7 inches),135 mm (5.3 inches),1430 mm (56.3 inches),18.00 litres (4.76 US gallons),Black/gold,Electric,,Italian brand.,Wet sump,25.0°,"5-spoke, black",,1115 mm (43.9 inches),,90°L twin cylider,,,,,,,Digital LCD.,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSR 400 ABS,2016,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,398.0 ccm (24.29 cubic inches),"In-line four, four-stroke",61.0 HP (44.5  kW)) @ 12000 RPM,39.0 Nm (4.0 kgf-m or 28.8 ft.lbs) @ 10000 RPM,,12.2:1,54.6 x 42.5 mm (2.1 x 1.7 inches),4,Injection,Double Overhead Cams/Twin Cam (DOHC),Transistorised,Liquid,6-speed,Chain   (final drive),Wet multi-plate coil spring,Constant-mesh,"Diamond, steel",104 mm (4.1 inches),Telescopic fork,,Monoshock,,120/70-ZR17 ,180/55-ZR17 ,Double disc. ABS,,Single disc. ABS,210.0 kg (463.0 pounds),0.2905 HP/kg,"785 mm (30.9 inches) If adjustable, lowest setting.",2090 mm (82.3 inches),950 mm (37.4 inches),130 mm (5.1 inches),1435 mm (56.5 inches),16.00 litres (4.23 US gallons),"Triton Blue Metallic/Pearl Glacier White, Pearl Glacier White/Matte Fibroin Gray Metallic, Glass Sparkle Black/Matte Shadow Black Metallic",Electric,,Sold in Japan.,Wet sump,25.3°,"3-spoke, black",215.0 kg (474.0 pounds),1075 mm (42.3 inches),,,3.13 litres/100 km (31.9 km/l or 75.15 mpg),72.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,3.90 litres (4.12 US quarts),,,,,,,,,,,,,,,,,,,,,,,,,,,
Genata XrN,2016,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",11.4 HP (8.3  kW)) @ 9000 RPM,,104.6 km/h (65.0 mph),,,,Carburettor,Single Overhead Cams (SOHC),CDI,,5-speed,Chain   (final drive),,,,,Telescopic Forks,,Single Shock Absorber,,110/70-17 ,150/60-17 ,Single disc,,Single disc,,,,,,,,3.79 litres (1.00 US gallons),"Green metallic, blue metallic",Electric,,Chinese made bike.,,,Black 5-spoke,,,,,,,,,LED,,Digital,,,,,,,,,,,,,,,,,,,,,,,,
Can-Am Spyder RS,2016,Touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,998.0 ccm (60.90 cubic inches),"V2, four-stroke",100.0 HP (73.0  kW)) @ 7500 RPM,108.0 Nm (11.0 kgf-m or 79.7 ft.lbs) @ 5000 RPM,,12.2:1,97.0 x 68.0 mm (3.8 x 2.7 inches),4,Injection,Double Overhead Cams/Twin Cam (DOHC),,Liquid,5-speed,Belt   (final drive),"Wet, multi-plate",,,,Double A-Arm with anti-roll bar.,142 mm (5.6 inches),Swing arm with monoshock.,152 mm (6.0 inches),165/65-R15 ,225/50-R15 ,"Double disc. ABS. 4 piston calipers. Foot-actuated, fully integrated hydraulic 3-wheel braking system.",270 mm (10.6 inches),Single disc. ABS. Single piston calipers.,362.0 kg (798.1 pounds),0.2762 HP/kg,"737 mm (29.0 inches) If adjustable, lowest setting.",2667 mm (105.0 inches),1473 mm (58.0 inches),115 mm (4.5 inches),1714 mm (67.5 inches),25.00 litres (6.61 US gallons),,Electric,,"Three wheel bike. Foot-operated, hydraulic 3-wheel brake. Electronic cruise control. ",,,Metallic silver,,1145 mm (45.1 inches),44 litre,BRP-Rotax engine,,,,3.90 litres (4.12 US quarts),2 halogen headlamps (60W),Exhaust system 2-into-1,"Speedometer, tachometer, odometer, trip  and  hour meters, gear position, temperature, engine lights, electronic fuel gauge, clock",2-year BRP Limited Warranty with 2-year roadside assistance,,,,,,,,,,,,,,,,,,,,,,,
Vento Proton Dark,2016,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,197.0 ccm (12.02 cubic inches),"Single cylinder, four-stroke",14.0 HP (10.2  kW)),,,,,,Carburettor,,,Air,5-speed,Chain   (final drive),,,,,Hydraulic telescopic fork,,Dual shocks,,100/80-R18 ,100/90-R18 ,Single disc. Hydraulic,,Expanding brake (drum brake),,,"800 mm (31.5 inches) If adjustable, lowest setting.",2000 mm (78.7 inches),830 mm (32.7 inches),,,16.00 litres (4.23 US gallons),Black,Electric,,Sold in Asia and Australia.,,,5-spoke,111.0 kg (244.7 pounds),,,,,,,,,,Analog and digital,,,"Dual seat, silk touch",,,,,,,,,,,,,,,,,,,,,
SWM SuperDual,2016,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",599.8 ccm (36.60 cubic inches),"Single cylinder, four-stroke",,,,,100.1 x 76.5 mm (3.9 x 3.0 inches),,Injection. MIKUNI D45,,Electronic,Liquid,6-speed,Chain   (final drive),"Wet, multiplate type; hydraulic control",,Single beam double cradle main frame,,MARZOCCHI Upside-Down fork with damping adjustment,,Sachs ´Soft Damp´ monoshock absorber with adjustment,,110/80-10 ,140/80-17 ,Single disc,281 mm (11.1 inches),Single disc,144.7 kg (319.0 pounds),,"809 mm (31.9 inches) If adjustable, lowest setting.",,,,1397 mm (55.0 inches),22.48 litres (5.94 US gallons),Silver/red/black,Electric,,Windscreen. SWM is short for Speedy Working Motors in Italy. Cooperates with Chinese Shineray.,Wet sump with oil pump rotor and cartridge filter,,Wire spoked,,,Saddle bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Boulevard C90T,2016,Touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1462.0 ccm (89.21 cubic inches),"V2, four-stroke",58.0 HP (42.3  kW)) @ 4800 RPM,131.0 Nm (13.4 kgf-m or 96.6 ft.lbs) @ 2600 RPM,,9.5:1,96.0 x 101.0 mm (3.8 x 4.0 inches),4,Injection,Single Overhead Cams (SOHC),Transistorized,Liquid,5-speed,Shaft drive (cardan)   (final drive),,Constant mesh,Steel-tube frame,,"Telescopic, coil spring, oil damped",130 mm (5.1 inches),"Link type, coil spring, oil damped",108 mm (4.3 inches),130/80-M17 ,200/60-M16 ,Single disc,275 mm (10.8 inches),Single disc,,,"720 mm (28.3 inches) If adjustable, lowest setting.",2560 mm (100.8 inches),990 mm (39.0 inches),140 mm (5.5 inches),1675 mm (65.9 inches),18.17 litres (4.80 US gallons),Glass Sparkle Black,Electric,,Windscreen,Wet sump,,,363.0 kg (800.3 pounds),,Leather-texture saddlebags,54-degree V-twin. Aluminum-alloy cylinder plated with Suzuki Composite Electrochemical Material (SCEM).,,,,,,Chromed and staggered dual-exhaust system mounted on the right side.,,12 month unlimited mileage limited warranty.,,,,,,,,,,,,,,,,,,,,,,,
Honda Gold Wing Audio Comfort,2016,Touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1832.0 ccm (111.79 cubic inches),"Six cylinder boxer, four-stroke",,,,9.8:1,74.0 x 71.0 mm (2.9 x 2.8 inches),2,Injection. Programmed Fuel Injection,Single Overhead Cams (SOHC),Computer-controlled digital with three-dimensional mapping,Liquid,5-speed,Shaft drive (cardan)   (final drive),Multi-plate with diaphragm spring in oil bath,,,109 mm (4.3 inches),"45mm cartridge fork with anti-dive system, 4.8 inches travel",,Pro Arm® single-side swingarm with Pro-Link® single shock with computer-controlled spring preload adjustment with two memory presets; 4.1 inches travel,,130/70-R18 ,180/60-R16 ,Double disc. Floating discs.  CBS three-piston calipers,316 mm (12.4 inches),Single disc. CBS three-piston calipers.,,,"739 mm (29.1 inches) If adjustable, lowest setting.",,,,1689 mm (66.5 inches),24.98 litres (6.60 US gallons),"Black, Light Silver Metallic/Black, Candy Red",Electric,,Model ID: GL1800. ,,29.2°,,415.5 kg (916.0 pounds),,"Saddle bags, top box, glovebox",,6.72 litres/100 km (14.9 km/l or 35.00 mpg),155.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,"Transferable, unlimited-mileage limited warranty; extended coverage available with a Honda Protection Plan.",Meets current California Air Resources Board (CARB) and EPA standards.,Urethane. Waterproof cover.,,,,,,,,,,,,,,,,,,,,,
Derbi Senda DRD 125 SM,2016,Super motard," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.2 ccm (7.58 cubic inches),"Single cylinder, four-stroke",15.0 HP (10.9  kW)) @ 9250 RPM,,,12.0:1,58.0 x 47.0 mm (2.3 x 1.9 inches),4,Carburettor. 30 mm,, CDI,Liquid,6-speed,Chain   (final drive),,,Steel perimetral double beam,,Upside down fork,245 mm (9.6 inches),Progressive linkage monoshock with separate gas tank,230 mm (9.1 inches),90/90-21 ,120/80-18 ,Single disc. Wave disc,220 mm (8.7 inches),Single disc. Wave disc,120.0 kg (264.6 pounds),0.1250 HP/kg,"910 mm (35.8 inches) If adjustable, lowest setting.",2182 mm (85.9 inches),808 mm (31.8 inches),,1445 mm (56.9 inches),8.00 litres (2.11 US gallons),Black/red/white,Electric,,Spanish brand. DRD is an abbreviation of Derbi Racing Development.,Dry sump,,Wire spoked,130.0 kg (286.6 pounds),,,,,,,,,,,,Euro 3,,,,,,,,,,,,,,,,,,,,,,
Sonik EK3000,2016,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,,35.0 Nm (3.6 kgf-m or 25.8 ft.lbs),80.0 km/h (49.7 mph),,,,,,,,,,,,,,,,,,130/10-13 ,130/10-13 ,Single disc. Hydraulic. ,,Single disc. Hydraulic. ,107.0 kg (235.9 pounds),,"760 mm (29.9 inches) If adjustable, lowest setting.",2130 mm (83.9 inches),700 mm (27.6 inches),,1440 mm (56.7 inches),,Motor type,Electric,Lithium battery.,"Range 50 km. 6-8 hours charging.
60V 38.5 Ah Lithium battery.",,,,,1130 mm (44.5 inches),,DC Brushless,,,,,,,,,,Dual seat,,,,,,,,,,,,,,,,,,,,,
Beeline Supercross 50,2016,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.3 ccm (3.01 cubic inches),"Single cylinder, two-stroke",4.9 HP (3.6  kW)) @ 7500 RPM,,,,41.0 x 37.4 mm (1.6 x 1.5 inches),,Carburettor,,CDI,Liquid,6-speed,Chain   (final drive),,,,,"Telescopic fork, 35 mm",,Gas shocks,,110/80-17 ,130/70-17 ,Single disc,,Single disc,92.0 kg (202.8 pounds),0.0533 HP/kg,,1955 mm (77.0 inches),790 mm (31.1 inches),,,6.80 litres (1.80 US gallons),"Red/white, Red/black",Electric & kick,,Beeline is a brand name use by TGB (Taiwan Golden Bee) in some European countries. ,,,,,1185 mm (46.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Over B3 50,2016,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",4.4 HP (3.2  kW)) @ 5000 RPM,,,12.5:1,40.0 x 39.2 mm (1.6 x 1.5 inches),,Carburettor,,C.D.I.,Liquid,Automatic,Belt   (final drive),,CVT,,,Telescopic fork,,Hydraulic monoshock,,120/60-13 ,130/60-13 ,Single disc,,Single disc,84.0 kg (185.2 pounds),0.0527 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",1860 mm (73.2 inches),680 mm (26.8 inches),,1350 mm (53.1 inches),6.80 litres (1.80 US gallons),"Red/white, ",Electric & kick,,Also called Overbikes B3 50.,,,,,1150 mm (45.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGO B2-125 EFI,2016,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.6 ccm (7.60 cubic inches),"Single cylinder, four-stroke",9.5 HP (6.9  kW)) @ 8250 RPM,9.1 Nm (0.9 kgf-m or 6.7 ft.lbs) @ 6000 RPM,,,,,Injection. EFI,,CDI,Air,Automatic,Belt   (final drive),,C.V.T,,,Telescopic fork,,Uni-Absorber,,110/70-12 ,130/70-12 ,Single disc,,Expanding brake (drum brake),118.0 kg (260.1 pounds),0.0807 HP/kg,,1890 mm (74.4 inches),730 mm (28.7 inches),,1285 mm (50.6 inches),6.00 litres (1.59 US gallons),"White, grey",Electric,,Taiwanese scooter. Model also called PGO X-Hot 125 EFI.,,,,,1090 mm (42.9 inches),,,,,,,,,,,Euro III,Two-person seat,,,,,,,,,,,,,,,,,,,,,
Yamaha Neos 4,2016,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.4 ccm (3.01 cubic inches),"Single cylinder, four-stroke",3.1 HP (2.2  kW)) @ 7000 RPM,3.2 Nm (0.3 kgf-m or 2.3 ft.lbs) @ 7000 RPM,,12.0:1,38.0 x 43.6 mm (1.5 x 1.7 inches),,Injection,Single Overhead Cams (SOHC),TCI,Liquid,Automatic,Belt   (final drive),,,,,Telescopic fork,70 mm (2.8 inches),Hydraulic unit swing,60 mm (2.4 inches),120/70-12 ,130/70-12 ,Single disc,110 mm (4.3 inches),Expanding brake (drum brake),,,"790 mm (31.1 inches) If adjustable, lowest setting.",1840 mm (72.4 inches),663 mm (26.1 inches),154 mm (6.1 inches),1275 mm (50.2 inches),5.40 litres (1.43 US gallons),"Brown, white, black",Electric & kick,,,Wet sump,,Aalloy wheels,95.0 kg (209.4 pounds),1118 mm (44.0 inches),Lockable helmet compartment,,,,,,,,Digital,,,Stepped dual seat,,,,,,,,,,,,,,,,,,,,,
Yamaha XV1900A Midnight Star,2016,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1854.0 ccm (113.13 cubic inches),"V2, four-stroke",90.0 HP (65.7  kW)) @ 4750 RPM,155.1 Nm (15.8 kgf-m or 114.4 ft.lbs) @ 2500 RPM,,9.5:1,100.0 x 118.0 mm (3.9 x 4.6 inches),4,Injection,Overhead Valves (OHV),TCI,Air,5-speed,Belt   (final drive),"Wet, Multiple Disc",,"Aluminium, double cradle",152 mm (6.0 inches),Telescopic forks,130 mm (5.1 inches),Swingarm,152 mm (6.0 inches),139/70-18 ,190/60-17 ,Single disc. Hydraulic. ,320 mm (12.6 inches),Single disc,,,"705 mm (27.8 inches) If adjustable, lowest setting.",2580 mm (101.6 inches),1100 mm (43.3 inches),155 mm (6.1 inches),1715 mm (67.5 inches),16.00 litres (4.23 US gallons),Midnight Black,Electric,,,Dry sump,30.0°,12-spoke cast aluminium alloy,347.0 kg (765.0 pounds),1125 mm (44.3 inches),,Twin-spark cylinder heads. Balancers minimise ride vibrations.,,,,5.20 litres (5.49 US quarts),,,,,,,,,,,,,,,4.00 litres (1.06 US gallons),,,,,,,,,,,,
Yamaha MT-07,2016,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",689.0 ccm (42.04 cubic inches),"Twin, four-stroke",74.0 HP (54.0  kW)) @ 9000 RPM,68.0 Nm (6.9 kgf-m or 50.2 ft.lbs) @ 6900 RPM,,11.5:1,80.0 x 68.6 mm (3.1 x 2.7 inches),4,Injection,Double Overhead Cams/Twin Cam (DOHC),TCI,Liquid,6-speed,Chain   (final drive),"Wet, Multiple Disc",,Diamond,90 mm (3.5 inches),Telescopic forks,137 mm (5.4 inches),"Swingarm, (Link type suspension)",130 mm (5.1 inches),120/70-ZR17 ,180/55-ZR17 ,Double disc. Hydraulic. ,245 mm (9.6 inches),Single disc. Hydraulic. ,,,"805 mm (31.7 inches) If adjustable, lowest setting.",2085 mm (82.1 inches),745 mm (29.3 inches),140 mm (5.5 inches),1400 mm (55.1 inches),14.00 litres (3.70 US gallons),"Silver, black, blue, red",Electric,,A limited power version of 35 kW is available.,Wet sump,24.0°,,179.0 kg (394.6 pounds),1090 mm (42.9 inches),,,,,,3.00 litres (3.17 US quarts),,,,,,Flat two-tone black/brown seat,,,,,,,,,,,,,,,,,,,,,
Fantic Caballero 125E Casa,2016,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,124.5 ccm (7.59 cubic inches),"Single cylinder, four-stroke",,,,,52.0 x 58.6 mm (2.0 x 2.3 inches),4,Carburettor. Keihin 30mm,Single Overhead Cams (SOHC),"Electronic, variable",Liquid,6-speed,Chain   (final drive),Multidisc in oil,,"Perimeter steel CrMo. Subframe: Removable in steel. Swing arm: Steel, progressive link.",,Fantic FRS ø41mm upside down fork,300 mm (11.8 inches),Fantic FRS 50 Piggyback - 1 regulation,315 mm (12.4 inches),90/90-21 ,120/80-18 ,Single disc. Wave disc,220 mm (8.7 inches),Single disc. Wave disc,95.0 kg (209.4 pounds),,"890 mm (35.0 inches) If adjustable, lowest setting.",2040 mm (80.3 inches),,,1395 mm (54.9 inches),7.50 litres (1.98 US gallons),Red/white/blue,Electric,,Model also called Fantic 125 Enduro Casa. Italian brand.,,,"Aluminium, anodized black, wire spoked",,,,,,,,,,Anodized aluminium silencer by BigOne,,,,,,,,,,,,,,,,,,,,,,,,,
Black Douglas Countryman Deluxe 250,2016,Classic,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,230.0 ccm (14.03 cubic inches),"Single cylinder, four-stroke",14.1 HP (10.3  kW)) @ 6000 RPM,18.3 Nm (1.9 kgf-m or 13.5 ft.lbs) @ 4500 RPM,100.0 km/h (62.1 mph),,67.0 x 65.0 mm (2.6 x 2.6 inches),2,Carburettor,Overhead Cams (OHC),CDI,Air,5-speed,Chain   (final drive),,,,,"Handmade forks, 7075 aluminum",,,,90/90-21 ,90/90-21 ,Expanding brake (drum brake),,Expanding brake (drum brake),98.0 kg (216.1 pounds),0.1439 HP/kg,"830 mm (32.7 inches) If adjustable, lowest setting.",2180 mm (85.8 inches),620 mm (24.4 inches),,1500 mm (59.1 inches),9.00 litres (2.38 US gallons),Any color,,,Retrobike made in Italy. Only available as a kit in the US. ,,,"Black, wire spoked",,,Rear rack,,3.13 litres/100 km (31.9 km/l or 75.15 mpg),72.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,Inox steel,,2 years,Catalyzed,"Handmade solo seat with coil springs. Optional passenger seat,",,,,,,,,,,,,,,,,,,,,,
Honda VFR1200F,2016,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1237.0 ccm (75.48 cubic inches),"V4, four-stroke",170.3 HP (124.3  kW)) @ 10000 RPM,129.0 Nm (13.2 kgf-m or 95.2 ft.lbs) @ 8750 RPM,,12.0:1,81.0 x 60.0 mm (3.2 x 2.4 inches),4,"Injection. Programmed Fuel Injection (PGM-FI) with automatic enrichment circuit, 44mm throttle bodies and 12-hole injectors",Single Overhead Cams (SOHC),Digital transistorized with electronic advance,Liquid,6-speed,Shaft drive (cardan)   (final drive),,,Diamond; aluminium twin-spar,101 mm (4.0 inches),43mm cartridge fork with spring-preload adjustability,109 mm (4.3 inches),Pro Arm single-side swingarm with Pro-Link¿ single gas-charged shock with remote spring-preload adjustability and rebound-damping adjustability,130 mm (5.1 inches),120/70-ZR17 ,190/55-ZR17 ,Double disc. ABS. Floating discs. Six-piston calipers. ,276 mm (10.9 inches),Single disc. ABS. Two-piston calipers. ,,,"815 mm (32.1 inches) If adjustable, lowest setting.",2244 mm (88.3 inches),752 mm (29.6 inches),128 mm (5.0 inches),1544 mm (60.8 inches),18.93 litres (5.00 US gallons),Metallic Black,Electric,,Model ID: VFR1200F.,,25.0°,Die cast aluminium,268.1 kg (591.0 pounds),1222 mm (48.1 inches),,,6.72 litres/100 km (14.9 km/l or 35.00 mpg),155.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,One year. Unlimited milage. Transferable.,Meets current California Air Resources Board (CARB) and EPA standards.,,,,,,,,,,,,,,,,,,,,,,
Suzuki KingQuad 750AXi Power Steering,2016,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,722.0 ccm (44.06 cubic inches),"Single cylinder, four-stroke",,,,10.0:1,104.0 x 85.0 mm (4.1 x 3.3 inches),4,Injection,Double Overhead Cams/Twin Cam (DOHC),,Liquid,100-speed,Shaft drive (cardan)   (final drive),Automatic,,,,"Independent, double wishbone, coil spring, oil damped with five-way preload adjustable shock absorbers",180 mm (7.1 inches),"Independent, double wishbone, coil spring, oil damped with five-way preload adjustable shock absorbers",201 mm (7.9 inches),25/8-12 ,25/10-12 ,Double disc,,Sealed multidisc,,,"880 mm (34.6 inches) If adjustable, lowest setting.",2115 mm (83.3 inches),1210 mm (47.6 inches),270 mm (10.6 inches),1280 mm (50.4 inches),17.50 litres (4.62 US gallons),"Flame Red, Terra Green",Electric,,"Push-button controls allow the rider to select 2WD, 4WD and differential-lock 4WD.",Wet sump,,"2WD, 4WD  and  4WD Differential Lock",305.0 kg (672.4 pounds),1245 mm (49.0 inches),2.8 liter water resistant front storage compartment. Front and rear rack.,,,,,,30W halogen headlights,,,"12-month, unlimited mileage, limited warranty",,,,,,,,,,,,,,,,,,,,,,,
