Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Bore x stroke,Ignition,Cooling system,Gearbox,Transmission type,Front suspension,Rear suspension,Front brakes,Rear brakes,Dry weight,Power/weight ratio,Overall height,Overall length,Overall width,Wheelbase,Fuel capacity,Starter,Lubrication system,Clutch,Frame type,Compression,Valves per cylinder,Fuel system,Fuel control,Front wheel travel,Rear wheel travel,Front tire,Rear tire,Diameter,"Weight incl. oil, gas, etc",Seat height,Ground clearance,Color options,Comments,Top speed,Fuel consumption,Greenhouse gases,Rake (fork angle),Trail,Exhaust system,Reserve fuel capacity,Driveline,Oil capacity,Engine oil,Oil filter,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Max RPM,Alternate seat height,Modifications compared to previous model,0-100 km/h (0-62 mph),Belt teeth,Belt width,Engine details,Front percentage of weight,Rear percentage of weight,Emission details,Pulley teeth,Wheels
Linhai 50 PY,2005,"Minibike, cross",Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",2.5 HP (1.9  kW)),3.7 Nm (0.4 kgf-m or 2.7 ft.lbs),40.0 x 39.2 mm (1.6 x 1.5 inches),C.D.I.,Air,1-speed,Shaft drive (cardan)   (final drive),Telescopic fork,Unit swing,Expanding brake (drum brake),Expanding brake (drum brake),40.0 kg (88.2 pounds),0.0635 HP/kg,715 mm (28.1 inches),1245 mm (49.0 inches),575 mm (22.6 inches),,,Kick,,,,,,,,,,,,,,,,,Intended for children 5-7 years old.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha Virago 250,2005,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"V2, four-stroke",,,49.0 x 66.0 mm (1.9 x 2.6 inches),,Air,5-speed,Chain   (final drive),Telescopic fork;,Twin shocks w/adjustable spring preload,Single disc,Expanding brake (drum brake),,,1140 mm (44.9 inches),2189 mm (86.2 inches),813 mm (32.0 inches),1491 mm (58.7 inches),9.46 litres (2.50 US gallons),,,,,10.0:1,4,Carburettor,Single Overhead Cams (SOHC),140 mm (5.5 inches),99 mm (3.9 inches),110/90-V18 ,130/90-V15 ,130 mm (5.1 inches),,"686 mm (27.0 inches) If adjustable, lowest setting.",,Raven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBK Ovetto,2005,Scooter," 3.1  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",2.8 HP (2.0  kW)) @ 6750 RPM,3.0 Nm (0.3 kgf-m or 2.2 ft.lbs) @ 6500 RPM,40.0 x 39.2 mm (1.6 x 1.5 inches),Electronic (C.D.I.),Air,,,Hydraulic and telescopic fork,Hydraulic unit swing,Single disc,Expanding brake (drum brake),78.0 kg (172.0 pounds),0.0359 HP/kg,,,,1280 mm (50.4 inches),6.50 litres (1.72 US gallons),Electric & kick,Separate lubrication,Automatic centrifugal,,11.6:1,,,,,,120/70-12 ,130/70-12 ,110 mm (4.3 inches),,"790 mm (31.1 inches) If adjustable, lowest setting.",135 mm (5.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VTX 1300 R,2005,Custom / cruiser," 4.0  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1312.0 ccm (80.06 cubic inches),"V2, four-stroke",,,89.5 x 104.3 mm (3.5 x 4.1 inches),"Digital with three-dimensional mapping, two spark plugs per cylinder",Liquid,5-speed,Shaft drive (cardan)   (final drive),41mm fork,Dual shocks with five-position spring-preload adjustability,Single disc. 2-piston calipers.,Single disc. 1-piston calipers.,303.5 kg (669.0 pounds),,,,,1669 mm (65.7 inches),18.16 litres (4.80 US gallons),Electric,,,Aluminium,9.2:1,3,Carburettor.  Single 38mm CV,Single Overhead Cams (SOHC),130 mm (5.1 inches),94 mm (3.7 inches),140/80-17 ,170/80-15 ,296 mm (11.7 inches),,"695 mm (27.4 inches) If adjustable, lowest setting.",,"Black, Metallic Silver, Candy Red, Magenta Metallic",Model ID: VTX1300R,,,,32.0°,144 mm (5.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Vulcan 800,2005,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",805.0 ccm (49.12 cubic inches),"V2, four-stroke",,,88.0 x 66.2 mm (3.5 x 2.6 inches),Digital,Liquid,5-speed,Shaft drive (cardan)   (final drive),41mm hydraulic telescopic fork,UNI-TRAK® single-shock system,Single disc. Hydraulic.,Expanding brake (drum brake),225.0 kg (496.0 pounds),,1171 mm (46.1 inches),,826 mm (32.5 inches),1626 mm (64.0 inches),15.14 litres (4.00 US gallons),Electric,,,"Double-cradle, high-tensile steel",9.5:1,4,Carburettor.  Keihin CVK36,Single Overhead Cams (SOHC),,,80/90-21 ,140/90-x16 ,,,"711 mm (28.0 inches) If adjustable, lowest setting.",160 mm (6.3 inches),Candy Thunder Blue,,,,,34.0°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Boulevard S83,2005,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1360.2 ccm (83.00 cubic inches),"V2, four-stroke",,,94.0 x 98.0 mm (3.7 x 3.9 inches),,Oil & air,5-speed,Shaft drive (cardan)   (final drive),"Telescopic, coil spring, oil damped","Twin shock, oil damped, 5-way adjustable spring preload",Single disc,Single disc,243.0 kg (535.7 pounds),,1145 mm (45.1 inches),2335 mm (91.9 inches),765 mm (30.1 inches),1620 mm (63.8 inches),13.00 litres (3.43 US gallons),Electric,,,,9.3:1,,Carburettor,Single Overhead Cams (SOHC),,,110/90-H19 ,170/80-M15 ,,,"740 mm (29.1 inches) If adjustable, lowest setting.",150 mm (5.9 inches),"Black, Gray",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBK MachG LC,2005,Scooter," 3.7  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",2.8 HP (2.0  kW)) @ 6750 RPM,4.0 Nm (0.4 kgf-m or 2.9 ft.lbs) @ 6500 RPM,40.0 x 39.2 mm (1.6 x 1.5 inches),Electronic (C.D.I.),Liquid,,,Hydraulic and telescopic fork,Single shock,Single disc,Expanding brake (drum brake),77.0 kg (169.8 pounds),0.0364 HP/kg,,,,1210 mm (47.6 inches),5.30 litres (1.40 US gallons),Electric & kick,Separate lubrication,Automatic centrifugal,,10.2:1,,,,,,110/70-12 ,130/70-12 ,110 mm (4.3 inches),,"776 mm (30.6 inches) If adjustable, lowest setting.",132 mm (5.2 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Scarabeo 50 Ditech,2005,Scooter," 3.8  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.4 ccm (3.01 cubic inches),"Single cylinder, two-stroke",,,41.0 x 37.4 mm (1.6 x 1.5 inches),,Air,Automatic,Belt   (final drive),Telescopic with Ø 30mm upside-down legs,Single hydraulic damper adjustable to 4-positions,Single disc,Single disc,,,,1905 mm (75.0 inches),,1250 mm (49.2 inches),12.20 litres (3.22 US gallons),,                     with electronic oil pump,Automatic centrifugal,Split single beam double cradle in high tensile steel,10.5:1,,Injection,,,,80/80-16 ,90/80-16 ,190 mm (7.5 inches),106.0 kg (233.7 pounds),"780 mm (30.7 inches) If adjustable, lowest setting.",,"Bianco Venice, Blu Main, Diamond Nero Shadow, Nero Graphique.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veli ZQ 125-2 IV Zongo,2005,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,124.7 ccm (7.61 cubic inches),"Single cylinder, two-stroke",9.4 HP (6.8  kW)) @ 8000 RPM,,,,Air,,Chain   (final drive),,,Single disc,Expanding brake (drum brake),105.0 kg (231.5 pounds),0.0893 HP/kg,1111 mm (43.7 inches),1948 mm (76.7 inches),742 mm (29.2 inches),1272 mm (50.1 inches),,Electric & kick,,,,,1,,,,,,,,,,,Red,,95.0 km/h (59.0 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLSTNI Softail Deluxe,2005,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1449.0 ccm (88.42 cubic inches),"V2, four-stroke",,102.0 Nm (10.4 kgf-m or 75.2 ft.lbs) @ 3500 RPM,95.3 x 101.6 mm (3.8 x 4.0 inches),,Air,5-speed,Belt   (final drive),,,Double disc,Single disc,322.0 kg (709.9 pounds),,,2400 mm (94.5 inches),,1630 mm (64.2 inches),18.90 litres (4.99 US gallons),,,Multi-plate clutch with diaphragm spring in oil bath,,8.8:1,,Injection.  Electronic Sequential Port Fuel Injection (ESPFI ),Double Overhead Cams/Twin Cam (DOHC),,,MT90-B16 ,Mu85-B16 ,292 mm (11.5 inches),,"622 mm (24.5 inches) If adjustable, lowest setting.",122 mm (4.8 inches),"Vivid black, black cherry pearl, black pearl, lava red sunglo,  two-tone glacier white pearl and chopper blue pearl; two-tone glacier white pearl and vivid black",,,,,32.0°,,Over/under shotgun with shorty duals,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomos Arrow,2005,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",3.1 HP (2.2  kW)) @ 5700 RPM,4.7 Nm (0.5 kgf-m or 3.5 ft.lbs) @ 3800 RPM,,CDI electronic,Air,,,Telescopic Fork,Swing arm with single shock,Single disc,Expanding brake (drum brake),64.9 kg (143.0 pounds),0.0475 HP/kg,,,,,3.48 litres (0.92 US gallons),,,,,10.0:1,,,,,,120/70-12 ,120/70-12 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veli ZQ 100,2005,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,97.2 ccm (5.93 cubic inches),"Single cylinder, two-stroke",7.0 HP (5.1  kW)),,,,Air,,,,,Expanding brake (drum brake),Expanding brake (drum brake),130.0 kg (286.6 pounds),0.0536 HP/kg,1055 mm (41.5 inches),1810 mm (71.3 inches),640 mm (25.2 inches),1210 mm (47.6 inches),,Electric & kick,,,,,,,,,,,,,,,,Black/white,Model also known as Veli Motor ZQ100.,90.0 km/h (55.9 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sherco Ipone 50 CC SM,2005,Super motard," 2.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.7 ccm (3.03 cubic inches),"Single cylinder, two-stroke",,,40.3 x 39.0 mm (1.6 x 1.5 inches),,Liquid,6-speed,Chain   (final drive),Hydraulic telescopic fork Paioli 41 Ø,"Olle single shock absorber, adjustable in spring preload.",,,83.0 kg (183.0 pounds),,,,,1970 mm (77.6 inches),,Kick,,,Built from Chrome-molybdenum forming a single structure.,,,Carburettor,,,,,,,,"920 mm (36.2 inches) If adjustable, lowest setting.",280 mm (11.0 inches),Read/white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAS GAS 280 PRO,2005,Trial," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",272.2 ccm (16.61 cubic inches),"Single cylinder, two-stroke",,,76.0 x 60.0 mm (3.0 x 2.4 inches),Ducati Programmable Digital CDI,Liquid,6-speed,Chain   (final drive),Marzocchi 40 mm conventional telescopic forks,Progressive linkage system,Single disc. 4-piston,Single disc. 2-piston,65.8 kg (145.0 pounds),,,,,1320 mm (52.0 inches),2.90 litres (0.77 US gallons),,,"Hydraulic, 2 steel, 3 fibre discs","Deltabox, CrMo tubing",,,Carburettor. Del´orto PHBHL 26BS,,,,2.75-21 ,4.00-18 ,,,"635 mm (25.0 inches) If adjustable, lowest setting.",,"Red, blue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBK Skyliner 180,2005,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,175.6 ccm (10.72 cubic inches),"Single cylinder, four-stroke",14.8 HP (10.8  kW)) @ 8750 RPM,13.0 Nm (1.3 kgf-m or 9.6 ft.lbs) @ 6500 RPM,62.2 x 57.8 mm (2.4 x 2.3 inches),Electronic (C.D.I.),Liquid,6-speed,,Hydraulic telescopic fork,Hydraulic unit swing,Single disc,Single disc,134.0 kg (295.4 pounds),0.1101 HP/kg,,,,1480 mm (58.3 inches),10.50 litres (2.77 US gallons),Electric,Wet sump,Automatic centrifugal,,11.0:1,,,,,,120/70-12 ,130/70-12 ,190 mm (7.5 inches),,"774 mm (30.5 inches) If adjustable, lowest setting.",102 mm (4.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda ST 1300 ABS,2005,Sport touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1261.0 ccm (76.95 cubic inches),"V4, four-stroke",118.0 HP (86.1  kW)) @ 8000 RPM,117.0 Nm (11.9 kgf-m or 86.3 ft.lbs) @ 6500 RPM,78.0 x 66.0 mm (3.1 x 2.6 inches),Computer-controlled digital with three-dimensional mapping and electronic advance,Liquid,5-speed,Shaft drive (cardan)   (final drive),45.0mm HMAS cartridge fork,HMAS gas-charged single shock with five-position spring-preload adjustability;,Double disc. LBS 3-piston calipers. Anti-lock Braking System (ABS).,Single disc. LBS 3-piston calipers. Anti-lock Braking System (ABS).,288.9 kg (637.0 pounds),0.4084 HP/kg,,,,1491 mm (58.7 inches),29.14 litres (7.70 US gallons),Electric,,,Front Suspension,10.8:1,,Injection.  Programmed Fuel Injection (PGM-FI) with automatic enricher circuit,Double Overhead Cams/Twin Cam (DOHC),117 mm (4.6 inches),122 mm (4.8 inches),120/70-ZR18 ,170/60-ZR17 ,316 mm (12.4 inches),,"790 mm (31.1 inches) If adjustable, lowest setting.",,Candy Dark Red,Model ID: ST1300A,,,,26.0°,98 mm (3.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kymco Zing 125,2005,Custom / cruiser," 3.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",10.5 HP (7.6  kW)) @ 9000 RPM,9.3 Nm (0.9 kgf-m or 6.9 ft.lbs) @ 6500 RPM,,,Oil & air,5-speed,,,,Single disc,Expanding brake (drum brake),152.5 kg (336.2 pounds),0.0685 HP/kg,1080 mm (42.5 inches),2183 mm (85.9 inches),745 mm (29.3 inches),,,,,,,,,,Overhead Valves (OHV),,,3.00-18 ,130/90-15 ,,,,,Grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia SL 1000 Falco,2005,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",997.6 ccm (60.87 cubic inches),"V2, four-stroke",114.0 HP (83.2  kW)) @ 9250 RPM,96.0 Nm (9.8 kgf-m or 70.8 ft.lbs) @ 5500 RPM,97.0 x 67.5 mm (3.8 x 2.7 inches),Digital electronic ignition with TSI (Twin Spark Ignition) with two spark plugs per cylinder. Ignition timing integrated in the injection control system. DIAC (Dynamic Ignition Advance Control) electronically controlled ignition timing.,Liquid,1-speed,Chain   (final drive),"Showa 43 mm upside-down fork with adjustment for compression, preload and rebound dampening.","Single member aluminium alloy swing-arm. APS (Aprilia Progressive System) linkage.Sachs hydraulic monoshock with adjustment for compression, preload and rebound dampening.",Double disc. 4-piston calipers,Single disc. 2-piston calipers,189.0 kg (416.7 pounds),0.6032 HP/kg,,,,,18.00 litres (4.76 US gallons),Electric,Dry sump with separate oil reservoir. Circuit capacity 4 litres.,Multiple disk in oil bath with patented PPC power-assisted hydraulic control,Sloping parallel twin-spar frame in aluminium alloy.,11.8:1,4,Injection.  Integrated electronic engine management system. Indirect multi-point electronic injection.51 mm diameter throttle bodies.,,120 mm (4.7 inches),133 mm (5.2 inches),120/70-17 ,180/55-17 ,255 mm (10.0 inches),,"940 mm (37.0 inches) If adjustable, lowest setting.",,"Darkness Black, Hilton Blue",,,,,25.6°,99 mm (3.9 inches),,4.00 litres (1.06 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,
TM Racing SMR 125,2005,Super motard," 3.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",123.5 ccm (7.54 cubic inches),"Single cylinder, two-stroke",,,54.0 x 54.5 mm (2.1 x 2.1 inches),Koukusan CDI electronic w/ variable advance,Liquid,6-speed,Chain   (final drive),Kayaba/Paioli  USD,Ohlins,Single disc,Single disc,,,,,,,8.00 litres (2.11 US gallons),Kick,,Multiple-disk in oil-bath with hydraulic control,Cr-Mo steel. Perimetral oval section.,16.7:1,,Carburettor. Keihin PWK 38,,,,120/70-ZR17 ,150/70-ZR17 ,240 mm (9.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJP PR4 125 Supermotard,2005,Super motard," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",14.8 HP (10.8  kW)),,,,Air,5-speed,Chain   (final drive),Telescopic fork,Single shock-absorber of progresive action,Single disc,Single disc,99.0 kg (218.3 pounds),0.1490 HP/kg,,2090 mm (82.3 inches),,1410 mm (55.5 inches),9.00 litres (2.38 US gallons),Electric & kick,,,,,2,Carburettor,Overhead Cams (OHC),260 mm (10.2 inches),260 mm (10.2 inches),,,185 mm (7.3 inches),,"850 mm (33.5 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buell Blast,2005,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",492.0 ccm (30.02 cubic inches),"Single cylinder, four-stroke",34.0 HP (24.8  kW)) @ 7500 RPM,46.0 Nm (4.7 kgf-m or 33.9 ft.lbs) @ 5500 RPM,88.9 x 79.4 mm (3.5 x 3.1 inches),,Air,5-speed,Belt   (final drive),37 mm Showa® conventional forks,"Showa non-adjustable, gas-charged compression shock","Single disc. Dual piston, floating caliper, stainless steel rotor","Single disc. Single piston, floating caliper, 220 mm, stainless steel rotor",163.3 kg (360.0 pounds),0.2082 HP/kg,,,,1397 mm (55.0 inches),10.59 litres (2.80 US gallons),Electric,,"Wet, multi-plate","Wide beam HSLA steel backbone frame with built-in oil reservoir, Uniplanar™ powertrain vibration isolation, Titanium color finish",9.2:1,2,Carburettor. Keihin 40mm,Overhead Valves (OHV),,,100/80-16 ,120/80-16 ,220 mm (8.7 inches),181.5 kg (400.1 pounds),,,"Battle Blue, Midnight Black",,,,,25.0°,86 mm (3.4 inches),"Tuned, tri-pass resonance chamber",,,1.90 litres (2.01 US quarts),,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 750 S,2005,Naked bike," 3.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",748.0 ccm (45.64 cubic inches),"In-line four, four-stroke",,,68.4 x 50.9 mm (2.7 x 2.0 inches),Digital,Liquid,6-speed,Chain   (final drive),41mm cartridge fork,UNI-TRAK® linkage with four-way rebound and seven-way spring preload adjustability,Double disc,Single disc,195.0 kg (430.0 pounds),,1039 mm (40.9 inches),,780 mm (30.7 inches),1425 mm (56.1 inches),18.16 litres (4.80 US gallons),Electric,,,"Diamond, high-tensile steel",11.3:1,,Injection,Double Overhead Cams/Twin Cam (DOHC),,,120/70-ZR17 ,180/55-ZR17 ,220 mm (8.7 inches),,"815 mm (32.1 inches) If adjustable, lowest setting.",165 mm (6.5 inches),Candy Plasma Blue,,,,,24.0°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki SV 650 S,2005,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",645.0 ccm (39.36 cubic inches),"V2, four-stroke",,,81.0 x 62.6 mm (3.2 x 2.5 inches),,Liquid,6-speed,Chain   (final drive),"Telescopic, coil spring, oil damped, fully adjustable preload","Link-type, 7-way adjustable spring preload",Double disc,Single disc,169.0 kg (372.6 pounds),,1170 mm (46.1 inches),2085 mm (82.1 inches),730 mm (28.7 inches),1430 mm (56.3 inches),17.00 litres (4.49 US gallons),Electric,,,,11.5:1,,Injection,Double Overhead Cams/Twin Cam (DOHC),,,120/60-ZR17 ,160/60-ZR17 ,,,"800 mm (31.5 inches) If adjustable, lowest setting.",155 mm (6.1 inches),"Blue, Yellow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 999 R,2005,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",999.0 ccm (60.96 cubic inches),"V2, four-stroke",150.0 HP (109.5  kW)) @ 9750 RPM,119.0 Nm (12.1 kgf-m or 87.8 ft.lbs) @ 8000 RPM,104.0 x 58.8 mm (4.1 x 2.3 inches),,Liquid,6-speed,Chain   (final drive),"Öhlins 43 mm upside-down fully adjustable fork with TiN surface treatment, for radial calipers",Progressive linkage with fully adjustable Öhlins monoshock,Double disc,Single disc,181.0 kg (399.0 pounds),0.8287 HP/kg,,,,1420 mm (55.9 inches),15.50 litres (4.10 US gallons),,,Dry multiplate with hydraulic control,Tubular steel trellis,12.5:1,4,"Injection.  Marelli electronic fuel injection, 54 mm throttle body",Desmodromic valve control,130 mm (5.1 inches),148 mm (5.8 inches),120/70-ZR17 ,190/50-ZR17 ,240 mm (9.4 inches),,"780 mm (30.7 inches) If adjustable, lowest setting.",,Red/black,,,,,23.5°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 640 LC4 Enduro,2005,Cross / motocross," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",625.0 ccm (38.14 cubic inches),"Single cylinder, four-stroke",,,101.0 x 78.0 mm (4.0 x 3.1 inches),Kokusan DC-CDI,Liquid,5-speed,Chain   (final drive),WP-USD 43 mm (1.89 inches),WP Monoshock,Single disc,Single disc,148.0 kg (326.3 pounds),,640 mm (25.2 inches),,640 mm (25.2 inches),1510 mm (59.4 inches),11.20 litres (2.96 US gallons),Electric & kick,Pressure lubrication with 2 Eaton pumps,"Wet multi-disc clutch, operated hydraulically","Chromium-molybdenum, powder-coated",11.7:1,4,Carburettor.  Mikuni BST 40,Overhead Cams (OHC),,335 mm (13.2 inches),90/90-21 ,,260 mm (10.2 inches),,"910 mm (35.8 inches) If adjustable, lowest setting.",300 mm (11.8 inches),,Not available in the USA.,,,,28.0°,128 mm (5.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPI Oliver 50,2005,Scooter," 3.1  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",4.4 HP (3.2  kW)),,,,Air,,,,,,,,,1131 mm (44.5 inches),1839 mm (72.4 inches),664 mm (26.1 inches),,5.20 litres (1.37 US gallons),Electric & kick,,,,,,,,,,120/70-12 ,130/70-12 ,,,,,"Blue/silver, Yellow/black",,,,,,,INOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,
