Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,Compression,Bore x stroke,Fuel system,Cooling system,Transmission type,Fuel consumption,Greenhouse gases,Emission details,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Power/weight ratio,Seat height,Overall length,Wheelbase,Fuel capacity,Color options,Starter,Valves per cylinder,Fuel control,Ignition,Gearbox,Clutch,Frame type,Rake (fork angle),Trail,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Seat,"Weight incl. oil, gas, etc",Light,Carrying capacity,Factory warranty,Comments,Engine details,Exhaust system,Wheels,Alternate seat height,Driveline,Overall height,Overall width,Ground clearance,Electrical,Lubrication system,Instruments,Reserve fuel capacity,Oil capacity,Max RPM,Engine oil,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,0-100 km/h (0-62 mph),Modifications compared to previous model,Service interval,"60-140 km/h (37-87 mph), highest gear",Oil filter,Belt teeth,1/4 mile (0.4 km)
KTM 250 XC TPI,2021,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, two-stroke",,,,,66.4 x 72.0 mm (2.6 x 2.8 inches),Injection,Liquid,Chain   (final drive),,,,,,Single disc,220 mm (8.7 inches),Single disc,101.3 kg (223.3 pounds),,"950 mm (37.4 inches) If adjustable, lowest setting.",,1482 mm (58.3 inches),8.50 litres (2.25 US gallons),Orange/white/grey,Electric,,,Continental EMS,6-speed,"Wet, DDS multi-disc clutch, Brembo hydraulics",Central double-cradle-type 25CrMo4 steel,26.5°,,"WP XACT-USD, Ø 48 mm",310 mm (12.2 inches),WP XACT Monoshock with linkage,300 mm (11.8 inches),,,,,,,Reed intake. ,,,,,,,370 mm (14.6 inches),Lithium-ion battery,,,,,,,,,,,,,,,,,,,,,,,,
Christini AWD 450 E,2021,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,450.0 ccm (27.46 cubic inches),"Single cylinder, four-stroke",44.0 HP (32.1  kW)),,,11.0:1,92.0 x 62.1 mm (3.6 x 2.4 inches),Injection,Liquid,Chain   (final drive),,,,80/100-21 ,110/100-18 ,Single disc. Two-piston calipers. ,240 mm (9.4 inches),Single disc,126.1 kg (278.0 pounds),0.3489 HP/kg,"909 mm (35.8 inches) If adjustable, lowest setting.",,1499 mm (59.0 inches),8.71 litres (2.30 US gallons),White/black/red,Electric & kick,,,"DC/AC Capacitor Discharge Ignition (CDI), Electric and Kick Start",5-speed,Mechanical cable actuated,Twin Spar Aluminum Frame,,,"WP XPlor 48mm sealed cartridge forks, spring preload/sag, high and low speed compression, rebound and damping adjustability",,"Fast Ace shock with 24 click Compression adjustment, spring pre-load adjuster, 15 click externally adjustable rebound, and piggyback aluminum reservoir",,,,,,"CHRISTINI 450 Engine	30 Day Limited, AWD System	1 Year",All wheel drive. Competition Use Only – NOT US Street Legal. ,,Aluminum Performance ,Black Anodized Rims. Billet Hubs.,,13:50 tooth,,,330 mm (13.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,
Serpento Cobra 150,2021,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,149.6 ccm (9.13 cubic inches),"Single cylinder, four-stroke",12.0 HP (8.8  kW)) @ 8000 RPM,9.8 Nm (1.0 kgf-m or 7.2 ft.lbs),,,,Carburettor,Air,Chain   (final drive),,,,2.50-13 ,2.75-13 ,Single disc,,Expanding brake (drum brake),95.0 kg (209.4 pounds),0.1263 HP/kg,,1867 mm (73.5 inches),1900 mm (74.8 inches),11.00 litres (2.91 US gallons),Black/red ,Electric & kick,,,,5-speed,Wet multi-plate,,,,Telescopic fork,,Monoshock,,,,,,,Sold in South-America. Produced in China.,,,,,,,1025 mm (40.4 inches),,12V / 7A battery,,,,,,,,,,,,,,,,,,,,,,,,
Tacita T-Race Rally Pro,2021,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,59.0 HP (43.1  kW)),100.0 Nm (10.2 kgf-m or 73.8 ft.lbs),170.0 km/h (105.6 mph),,,,Liquid,Chain   (final drive),,,No direct emissions,90/90-21 ,140/80-18 ,Single disc. Brembo,220 mm (8.7 inches),Single disc. Brembo,168.0 kg (370.4 pounds),0.3512 HP/kg,,,1490 mm (58.7 inches),,Red/white/black,Electric,,,,5-speed,,Single-shell frame split in chrome-molybdenum. ,,,Upside-down Mupo telescopic hydraulic fork with advanced axle,,Pregressive link with Mupo fully adjustable,,,,,,,Italian brand.  3 hours with the 16A charging power. 5 hours from  “reserve power” level to 80% at 220 V with the on-board charger from any socket. Made for the Dakar rally.,"PMAC, optional 27, 34 or 44 kW engine ",,,,,,,330 mm (13.0 inches),"Li-Po lithium polymer battery, various options up to 18 kWh.",,,,,6000,,,,,,,,,,,,,,,,,,,
Mahindra Mojo 300,2021,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,300.0 ccm (18.31 cubic inches),"Single cylinder, four-stroke",25.4 HP (18.5  kW)),25.4 Nm (2.6 kgf-m or 18.7 ft.lbs),,,,Injection,Liquid,Chain   (final drive),,,,110/70-R17 ,140/70-R17 ,Single disc. ABS,260 mm (10.2 inches),Single disc. ABS,,,"760 mm (29.9 inches) If adjustable, lowest setting.",,,21.00 litres (5.55 US gallons),"Red/white, red/black, black",Electric & kick,,,,,,,,,Hydraulic telescopic fork,,Hydraulic single damper,,,,Twin headlamps,,,Scooter sold in India by Mahindra Two Wheelers.,,,,,,,,,,,Digital  ,,,,,,,,,,,,,,,,,,,,,,
Aprilia SR 160 Race,2021,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,160.0 ccm (9.76 cubic inches),"Single cylinder, four-stroke",10.8 HP (7.9  kW)) @ 7100 RPM,11.6 Nm (1.2 kgf-m or 8.6 ft.lbs) @ 6000 RPM,90.0 km/h (55.9 mph),8.8:1,58.0 x 60.6 mm (2.3 x 2.4 inches),Injection,Air,Belt   (final drive),,,,120/70-14 ,120/70-14 ,Single disc. ABS,140 mm (5.5 inches),Expanding brake (drum brake). ABS,,,"780 mm (30.7 inches) If adjustable, lowest setting.",1985 mm (78.1 inches),1365 mm (53.7 inches),6.00 litres (1.59 US gallons),Black/red/green,Electric,3,,CDI,Automatic,Dry centrifugal ,Tubular with open single cradle,,,"Telescopic fork, 30mm",,Mono shock,,Dual seat,122.0 kg (269.0 pounds),,Underseat storage,,Sold in India.,,,Alloy,,,1166 mm (45.9 inches),806 mm (31.7 inches),155 mm (6.1 inches),,,Digital/analogue,1.20 litres (0.32 US gallons),,,,,,,,,,,,,,,,,,,,,
Sherco 300 SEF Factory,2021,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",303.7 ccm (18.53 cubic inches),"Single cylinder, four-stroke",,,,,84.0 x 54.8 mm (3.3 x 2.2 inches),Injection. Synerject digital electronic injection,Liquid,Chain   (final drive),,,,1.60-21 ,2.15-18 ,Single disc. Brembo,220 mm (8.7 inches),Single disc. Brembo,102.0 kg (224.9 pounds),,"950 mm (37.4 inches) If adjustable, lowest setting.",,1480 mm (58.3 inches),9.70 litres (2.56 US gallons),Blue/white/green,Electric,4,Double Overhead Cams/Twin Cam (DOHC),,6-speed,"Hydraulic, multidisc in oil bath",Chrome-Molybdenum steel semi-perimeter,,,KYB Fork Double closed cartridge with hydraulic setting and fork springs,300 mm (11.8 inches),KYB Shock Absorber With hydraulic setting and spring setting specific to each model 3-way adjustment,330 mm (13.0 inches),,,,,,Spanish brand.,Sherco engine,Akrapovic full exhaust pipe with titanium pipe,Blue anodized Excel rim with Michelin Enduro Competition tires,,Gears in primary drive secondary drive with chain,,,355 mm (14.0 inches),Shido LTZ5S Lithium battery. ,Dry sump,,,,,,,,,,,,,,,,,,,,,,,
TGB Blade 520 ,2021,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,503.0 ccm (30.69 cubic inches),"Single cylinder, four-stroke",39.0 HP (28.5  kW)) @ 6500 RPM,47.1 Nm (4.8 kgf-m or 34.7 ft.lbs) @ 5500 RPM,,,,Injection,Liquid,Belt   (final drive),,,,25/8-12 ,25/10-12 ,Single disc,180 mm (7.1 inches),Single disc,350.0 kg (771.6 pounds),0.1114 HP/kg,"914 mm (36.0 inches) If adjustable, lowest setting.",2120 mm (83.5 inches),1280 mm (50.4 inches),18.00 litres (4.76 US gallons),Red,Electric,,Single Overhead Cams (SOHC),,Automatic,,,,,Double A-Arm,220 mm (8.7 inches),"Double A-Arm, IRS",240 mm (9.4 inches),,,,,2 years,Made in Taiwan. Sold i Australia. Switchable 2 or 4 WD. Automatic Transmission with Hi/Lo Range and Reverse. ,,,Kenda tires,,CVT,1205 mm (47.4 inches),1240 mm (48.8 inches),,,,Digital instrument panel,,,,,,,,,,,,,,,,,,,,,,
Triumph Tiger 1200 XRx Low,2021,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1215.0 ccm (74.14 cubic inches),"In-line three, four-stroke",141.0 HP (102.9  kW)) @ 9350 RPM,122.0 Nm (12.4 kgf-m or 90.0 ft.lbs) @ 7600 RPM,,11.0:1,85.0 x 71.4 mm (3.3 x 2.8 inches),Injection,Liquid,Shaft drive (cardan)   (final drive),4.90 litres/100 km (20.4 km/l or 48.00 mpg),113.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,,120/70-R19 ,170/60-R17 ,"Double disc. Floating discs,  radially mounted monobloc Brembo calipers, 4-piston, switchable ABS",282 mm (11.1 inches),"Single disc. Nissin 2-piston sliding caliper, Switchable ABS",244.0 kg (537.9 pounds),0.5779 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",2248 mm (88.5 inches),1520 mm (59.8 inches),20.00 litres (5.28 US gallons),"Jet Black, Matt Cobalt Blue, Crystal White",Electric,4,Double Overhead Cams/Twin Cam (DOHC),,6-speed,Wet. multi-plate,"Tubular steel trellis frame. Single-­sided, cast aluminium alloy swing arm with shaft drive.",23.2°,100 mm (3.9 inches),"WP 48 mm upside down forks, electronically adjustable damping,",168 mm (6.6 inches),"WP monoshock, electronically adjustable semi active damping,",158 mm (6.2 inches),,,,,24 months unlimited mileage,Ride by Wire. Windscreen.,,Stainless steel 3 into 1 side mounted stainless steel silencer,Cast aluminium alloy 10-spoke,"810 mm (31.9 inches) If adjustable, highest setting.",,1450 mm (57.1 inches),830 mm (32.7 inches),,,,"TFT multi­functional instrument pack with digital speedometer, trip computer, digital tachometer, gear position indicator, fuel gage, service indicator, ambient temperature, clock and six rider modes",,4.00 litres (4.23 US quarts),,,,,,,,,,,,,,,,,,,,
Lambretta V125 Special Pirelli Edition,2021,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.7 ccm (7.61 cubic inches),"Single cylinder, four-stroke",10.1 HP (7.3  kW)) @ 8500 RPM,,,,,,,,2.80 litres/100 km (35.7 km/l or 84.01 mpg),65.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,Single disc,220 mm (8.7 inches),Single disc,95.0 kg (209.4 pounds),0.1059 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",1890 mm (74.4 inches),,6.00 litres (1.59 US gallons),Matt Grey/Black,Electric,,,ECU,,,,,,,,,,,,,,,,,,,,,1115 mm (43.9 inches),695 mm (27.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha Byson FI,2021,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,150.0 ccm (9.15 cubic inches),"Single cylinder, four-stroke",12.9 HP (9.4  kW)) @ 8000 RPM,13.0 Nm (1.3 kgf-m or 9.6 ft.lbs) @ 6000 RPM,,9.5:1,57.3 x 57.9 mm (2.3 x 2.3 inches),Injection,Air,,,,,100/80-17 ,130/70-17 ,Single disc,,Expanding brake (drum brake),,,"790 mm (31.1 inches) If adjustable, lowest setting.",1990 mm (78.3 inches),1340 mm (52.8 inches),12.00 litres (3.17 US gallons),"Matte Red, Matte Brown, Matte Grey",Electric & kick,,Single Overhead Cams (SOHC),,,"Wet, multipate",Diamond,,,Telescopic,,Swingarm,,,133.0 kg (293.2 pounds),,,,Sold in Asia,,,,,,1045 mm (41.1 inches),780 mm (30.7 inches),170 mm (6.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,
Ducati Multistrada 950 S,2021,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,937.0 ccm (57.18 cubic inches),"V2, four-stroke",113.0 HP (82.5  kW)) @ 9000 RPM,96.2 Nm (9.8 kgf-m or 71.0 ft.lbs) @ 7750 RPM,,12.6:1,94.0 x 67.5 mm (3.7 x 2.7 inches),"Injection. Bosch electronic fuel injection system, cylindrical throttle bodies with Ride-by-Wire, diameter 53 mm",Liquid,Chain   (final drive),5.50 litres/100 km (18.2 km/l or 42.77 mpg),127.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 4,120/70-ZR19 ,170/60-ZR17 ,"Double disc. ABS. Floating discs. Four-piston calipers. Radially mounted Brembo, Bosch Cornering ABS",265 mm (10.4 inches),Single disc. ABS. Floating disc.Brembo Two-piston calipers. ,204.0 kg (449.7 pounds),0.5539 HP/kg,"840 mm (33.1 inches) If adjustable, lowest setting.",2200 mm (86.6 inches),1594 mm (62.8 inches),20.00 litres (5.28 US gallons),"Ducati Red, GP White",Electric,,Desmodromic valve control,Dual Spark,6-speed,Slipper and self-servo wet multiplate clutch with hydraulic control,Tubular steel Trellis frame,25.0°,106 mm (4.2 inches),KYB 48 mm fully adjustable USD fork,170 mm (6.7 inches),"Fully adjustable monoshock, Remote spring preload adjustment, Aluminium double-sided swingarm.",170 mm (6.7 inches),,230.0 kg (507.1 pounds),,,24 months,,,"Stainless steel muffler with catalytic converter and 2 lambda probes, single stainless steel muffler",Light alloy casted ,"860 mm (33.9 inches) If adjustable, highest setting.",Chain; Front sprocket 15; Rear sprocket 43. Primary drive: Straight cut gears; Ratio 1.84.,,,,,,LCD,,,,,,,,,,,,,,,,,,,,,,
Arch 1s,2021,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,2032.0 ccm (123.99 cubic inches),"V2, four-stroke",120.0 HP (87.6  kW)),163.0 Nm (16.6 kgf-m or 120.2 ft.lbs),,10.8:1,104.8 x 117.5 mm (4.1 x 4.6 inches),Injection,Liquid,Chain   (final drive),,,CARB/EPA compliant. Euro 4.,3.50-17 ,8.50-17 ,Double disc. ABS. 6 piston monobloc radial mount calipers,266 mm (10.5 inches),Single disc. ABS. Four-piston monobloc radial mount caliper,244.9 kg (540.0 pounds),0.4899 HP/kg,,,,,White/grey/red/black,Electric,,,,6-speed,Dry,Billet and tubular steel frame with CNC machined aluminum backbone and sub-chassis,26.0°,112 mm (4.4 inches),"Ohlins / Arch proprietary FGRT series fork, fully adjustable",,"Ohlins / Arch proprietary rear shock with reservoir, hydraulic pre-load adjustment, fully adjustable",,,,LED headlight,,,ARCH Motorcycles are made i Los Angeles.,ARCH/S and S Cycle T124 45-degree V-twin,ARCH/SC Project MotoGP-inspired titanium/carbon fiber/billet aluminum exhaust,BST Carbon Fiber “Turbine” wheels.  Michelin Power RS tires.,,,,,,,,Digital  ,,,,,,,,,,,,,,,,,,,,,,
Jawa 350 OHC,2021,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,350.0 ccm (21.36 cubic inches),"Twin, four-stroke",27.4 HP (20.0  kW)) @ 6500 RPM,30.6 Nm (3.1 kgf-m or 22.6 ft.lbs) @ 5000 RPM,130.0 km/h (80.8 mph),8.8:1,85.0 x 70.0 mm (3.3 x 2.8 inches),,Air,,,,Euro 4,100/90-19 ,130/70-18 ,Single disc,160 mm (6.3 inches),Expanding brake (drum brake),160.0 kg (352.7 pounds),0.1710 HP/kg,"760 mm (29.9 inches) If adjustable, lowest setting.",,,12.50 litres (3.30 US gallons),,Electric & kick,,Overhead Cams (OHC),,4-speed,,,,,Telescopic,150 mm (5.9 inches),,80 mm (3.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KSR Demonio 50,2021,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,50.0 ccm (3.05 cubic inches),"Single cylinder, four-stroke",3.1 HP (2.2  kW)) @ 6500 RPM,,,,,,Air,,2.00 litres/100 km (50.0 km/l or 117.61 mpg),46.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 4,120/70-12 ,130/70-12 ,Single disc,,Single disc,95.0 kg (209.4 pounds),0.0324 HP/kg,,,,4.00 litres (1.06 US gallons),"Red, Grey",Electric & kick,,,,,,,,,Telescopic fork,,Mono Shock,,,,,,,,,,,,CVT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z900,2021,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",948.0 ccm (57.85 cubic inches),"In-line four, four-stroke",,99.1 Nm (10.1 kgf-m or 73.1 ft.lbs) @ 7700 RPM,,11.8:1,73.4 x 56.0 mm (2.9 x 2.2 inches),Injection. DFI  with 36mm Keihin throttle bodies,Liquid,Chain   (final drive),,,,120/70-ZR17 ,180/55-ZR17 ,Double disc. Optional ABS. Four-piston calipers. ,250 mm (9.8 inches),Single disc. Optional ABS. Single-piston caliper. ,,,"800 mm (31.5 inches) If adjustable, lowest setting.",2070 mm (81.5 inches),1455 mm (57.3 inches),17.03 litres (4.50 US gallons),"Pearl Blizzard White/Metallic Spark Black, Metallic Spark Black/Metallic Flat Spark Black",Electric,4,Double Overhead Cams/Twin Cam (DOHC),TCBI with electronic advance,6-speed,Assist  and  Slipper Clutch,"Trellis, high tensile steel",24.9°,109 mm (4.3 inches),41mm inverted fork with rebound damping and spring preload adjustability,119 mm (4.7 inches),"Horizontal back-link, stepless rebound damping, adjustable spring preload",140 mm (5.5 inches),,212.1 kg (467.5 pounds),LED headlight,,12 Month Limited Warranty,Power Mode Selection. Traction control. Smartphone Connectivity.,,,Dunlop Sportmax Roadsport 2 Tires,,Sealed chain,1064 mm (41.9 inches),826 mm (32.5 inches),130 mm (5.1 inches),,,TFT Color Instrumentation,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Street Glide,2021,Touring," 4.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1746.0 ccm (106.54 cubic inches),"V2, four-stroke",89.0 HP (65.0  kW)) @ 5450 RPM,150.5 Nm (15.3 kgf-m or 111.0 ft.lbs) @ 3250 RPM,,10.0:1,99.8 x 111.1 mm (3.9 x 4.4 inches),Injection. Electronic Sequential Port Fuel Injection,Air,Belt   (final drive),5.23 litres/100 km (19.1 km/l or 44.98 mpg),121.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,,130/60-B19 ,180/55-B18 ,Double disc. ABS. 4-piston,,Single disc. ABS. 4-piston,361.0 kg (795.9 pounds),0.2465 HP/kg,"663 mm (26.1 inches) If adjustable, lowest setting.",2450 mm (96.5 inches),1625 mm (64.0 inches),22.71 litres (6.00 US gallons),"Vivid Black, River Rock Gray, Billiard Red",Electric,,Double Overhead Cams/Twin Cam (DOHC),,6-speed,Multi-plate with diaphragm spring in oil bath,,26.0°,170 mm (6.7 inches),Telescopic fork,,Twin shocks,,,376.0 kg (828.9 pounds),"High beam, running lights, front fender light, directional light bar, neutral, low oil pressure, engine diagnostics, turn signals, security system (optional), 6-speed, low fuel warning, cruise control (optional), ABS (optional)",Saddle bags,,Windshield. Cruise control. Infotainment.,Milwaukee-Eight 107,"Chrome, 2-1-2 dual exhaust with tapered mufflers ",Enforcer II Cast Aluminum,,"Chain, 34/46 ratio primary drive",,,135 mm (5.3 inches),,Dry sump,"Display features odometer, trip A, trip B, range to empty and gear indicator; and larger tell-tale indicators.",,4.90 litres (5.18 US quarts),,,,,,,,,,,,,,,,,,,,
Suzuki Katana,2021,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",999.0 ccm (60.96 cubic inches),"In-line four, four-stroke",147.5 HP (107.7  kW)) @ 10000 RPM,108.0 Nm (11.0 kgf-m or 79.7 ft.lbs) @ 9500 RPM,,12.2:1,73.4 x 59.0 mm (2.9 x 2.3 inches),Injection. 44mm throttle bodies,Liquid,Chain   (final drive),,,,120/70-ZR17 ,190/50-ZR17 ,"Double disc. ABS. Brembo, 4-piston.",240 mm (9.4 inches),"Single disc. ABS, Nissin 1-piston",,,"825 mm (32.5 inches) If adjustable, lowest setting.",2130 mm (83.9 inches),1460 mm (57.5 inches),12.00 litres (3.17 US gallons),"Metallic Mystic Silver, Solid Black",Electric,4,Double Overhead Cams/Twin Cam (DOHC),,6-speed,"Wet, multi-plate, Suzuki Clutch Assist System.",Twin-spar aluminum,25.0°,100 mm (3.9 inches),"KYB Inverted telescopic, coil spring, oil damped",120 mm (4.7 inches),"KYB link type, single shock, coil spring, oil damped",,,215.0 kg (474.0 pounds),LED headlight,,12 month unlimited mileage limited warranty.,Traction Control.,,Stainless steel 4-2-1,Six-spoke lightweight cast aluminum,,"RK525GSH, 116 link chain",1110 mm (43.7 inches),830 mm (32.7 inches),140 mm (5.5 inches),,Wet sump,LCD multifunction instrument panel,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR-Z400SM,2021,Super motard,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,398.0 ccm (24.29 cubic inches),"Single cylinder, four-stroke",,,,11.3:1,90.0 x 62.6 mm (3.5 x 2.5 inches),"Carburettor. Mikuni BSR36, single",Liquid,Chain   (final drive),5.30 litres/100 km (18.9 km/l or 44.38 mpg),123.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,120/70-R17 ,140/70-R17 ,Single disc. Floating rotor,240 mm (9.4 inches),Single disc,,,"890 mm (35.0 inches) If adjustable, lowest setting.",2225 mm (87.6 inches),1460 mm (57.5 inches),10.00 litres (2.64 US gallons),"Solid Black, Solid Special White",Electric,4,Double Overhead Cams/Twin Cam (DOHC),CDI,5-speed,"Multi-plate, wet type, manual release. Magnesium-alloy.",Chrome-moly steel frame. Bolt-on aluminum sub-frame.,,,"Showa inverted telescopic, coil spring, oil damped",,"Link type, coil spring, oil damped, adjustable spring preload",,,146.0 kg (321.9 pounds),12V 60/55W (H4),,12 month unlimited mileage limited warranty.,,,,"Wide, blue or black anodized RK Excel aluminum rims with stainless steel spokes",,"Chain, RK520KZ0, 110 links",1200 mm (47.2 inches),855 mm (33.7 inches),260 mm (10.2 inches),,Semi-dry sump,Digital instrument cluster,,,,,,,,,,,,,,,,,,,,,,
