Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Bore x stroke,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,Dry weight,Power/weight ratio,Seat height,Overall length,Overall width,Fuel capacity,Compression,Valves per cylinder,Fuel system,Fuel control,Cooling system,Front wheel travel,Rear wheel travel,Diameter,Overall height,Wheelbase,Reserve fuel capacity,Ground clearance,Color options,Rake (fork angle),Front suspension,Rear suspension,Comments,Ignition,Lubrication system,Clutch,Frame type,"Weight incl. oil, gas, etc",Starter,Top speed,Oil capacity,Engine oil,Oil filter,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Alternate seat height,Trail,Belt teeth,Belt width,Pulley teeth,Max RPM,Engine details,0-100 km/h (0-62 mph),1/4 mile (0.4 km),"60-140 km/h (37-87 mph), highest gear",Driveline,Fuel consumption,Greenhouse gases,Exhaust system,Wheels,Front percentage of weight,Rear percentage of weight,Modifications compared to previous model,Chain size,Chain links
Ural Red Star,2003,Classic," 3.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",749.0 ccm (45.70 cubic inches),"Two cylinder boxer, four-stroke",45.0 HP (32.8  kW)) @ 4500 RPM,67.8 Nm (6.9 kgf-m or 50.0 ft.lbs),,,,,,,,230.0 kg (507.1 pounds),0.1957 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",,,18.00 litres (4.76 US gallons),,,,,,,,,,1700 mm (66.9 inches),,,"Black, Red",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia RS 125 R,2003,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",124.6 ccm (7.60 cubic inches),"Single cylinder, two-stroke",,,,,,,,,,142.0 kg (313.1 pounds),,"805 mm (31.7 inches) If adjustable, lowest setting.",,,14.00 litres (3.70 US gallons),,,,,,,,,,1345 mm (53.0 inches),3.50 litres (0.92 US gallons),,"Black/Red, Black/Yellow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Sprint ST,2003,Sport touring," 4.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",955.0 ccm (58.27 cubic inches),"In-line three, four-stroke",120.0 HP (87.6  kW)) @ 9100 RPM,100.0 Nm (10.2 kgf-m or 73.8 ft.lbs) @ 5100 RPM,79.0 x 65.0 mm (3.1 x 2.6 inches),6-speed,Chain   (final drive),120/70-ZR17 ,180/55-ZR17 ,Double disc,Single disc,207.0 kg (456.4 pounds),0.5797 HP/kg,"805 mm (31.7 inches) If adjustable, lowest setting.",2160 mm (85.0 inches),735 mm (28.9 inches),19.50 litres (5.15 US gallons),12.0:1,,Injection,Double Overhead Cams/Twin Cam (DOHC),Liquid,,,255 mm (10.0 inches),1220 mm (48.0 inches),1475 mm (58.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia RX 50,2003,Enduro / offroad," 3.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.7 ccm (3.03 cubic inches),"Single cylinder, two-stroke",,,,,,,,,,92.0 kg (202.8 pounds),,,,,9.50 litres (2.51 US gallons),,,,,,,,,,1360 mm (53.5 inches),1.50 litres (0.40 US gallons),,"Black/Yellow, Black/Red, Black/Blue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Di Blasi Di Blasi,2003,Scooter," 3.1  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, four-stroke",,,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),32.0 kg (70.5 pounds),,"760 mm (29.9 inches) If adjustable, lowest setting.",,,3.00 litres (0.79 US gallons),,,,,Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki VN 800 Drifter,2003,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",805.0 ccm (49.12 cubic inches),"V2, four-stroke",56.0 HP (40.9  kW)) @ 7500 RPM,61.0 Nm (6.2 kgf-m or 45.0 ft.lbs) @ 5500 RPM,,,,,,,,246.0 kg (542.3 pounds),0.2276 HP/kg,"760 mm (29.9 inches) If adjustable, lowest setting.",,,15.00 litres (3.96 US gallons),,,,,,,,,,1615 mm (63.6 inches),,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLSTS Heritage Springer,2003,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1449.0 ccm (88.42 cubic inches),"V2, four-stroke",,110.0 Nm (11.2 kgf-m or 81.1 ft.lbs) @ 2800 RPM,95.3 x 101.6 mm (3.8 x 4.0 inches),,Belt   (final drive),,,,,340.0 kg (749.6 pounds),,"658 mm (25.9 inches) If adjustable, lowest setting.",2396 mm (94.3 inches),,19.70 litres (5.20 US gallons),8.8:1,,Carburettor,,Air,,,,,1630 mm (64.2 inches),,128 mm (5.0 inches),"2-tone sterling silver & vivid black, vivid black, gunmetal pearl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW F 650 GS,2003,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",652.0 ccm (39.79 cubic inches),"Single cylinder, four-stroke",50.0 HP (36.5  kW)) @ 6500 RPM,59.7 Nm (6.1 kgf-m or 44.0 ft.lbs) @ 5000 RPM,,,,,,,,193.0 kg (425.5 pounds),0.2591 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",,,17.30 litres (4.57 US gallons),,,,,,,,,,1479 mm (58.2 inches),4.50 litres (1.19 US gallons),,"Black, Red, Orange, Blue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda NX-4 FALCON,2003,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",400.0 ccm (24.41 cubic inches),"Single cylinder, four-stroke",,,,,Chain   (final drive),,,,,,,,,,12.00 litres (3.17 US gallons),,,Carburettor,,Air,,,,,,,,,,,,MADE IN BRAZIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield 500 Bullet Sixty-Five,2003,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",22.0 HP (16.1  kW)),35.3 Nm (3.6 kgf-m or 26.0 ft.lbs),,,,,,,,168.0 kg (370.4 pounds),0.1310 HP/kg,"775 mm (30.5 inches) If adjustable, lowest setting.",,,14.50 litres (3.83 US gallons),,,,,,,,,,1370 mm (53.9 inches),1.25 litres (0.33 US gallons),,"Black, Silver, Blue, Red",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XL 1000 Varadero,2003,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",996.0 ccm (60.78 cubic inches),"V2, four-stroke",93.0 HP (67.9  kW)) @ 8000 RPM,98.0 Nm (10.0 kgf-m or 72.3 ft.lbs) @ 6000 RPM,98.0 x 66.0 mm (3.9 x 2.6 inches),6-speed,Chain   (final drive),110/80-19 ,150/70-17 ,Double disc,Single disc,235.0 kg (518.1 pounds),0.3957 HP/kg,"838 mm (33.0 inches) If adjustable, lowest setting.",2295 mm (90.4 inches),925 mm (36.4 inches),25.00 litres (6.61 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sachs B-805,2003,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",805.0 ccm (49.12 cubic inches),"V2, four-stroke",57.0 HP (41.6  kW)) @ 6000 RPM,71.1 Nm (7.2 kgf-m or 52.4 ft.lbs) @ 4000 RPM,,,,,,,,209.0 kg (460.8 pounds),0.2727 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",,,17.00 litres (4.49 US gallons),,,,,,,,,,1480 mm (58.3 inches),3.00 litres (0.79 US gallons),,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSF 600 S Bandit,2003,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",600.0 ccm (36.61 cubic inches),"In-line four, four-stroke",77.5 HP (56.6  kW)) @ 10500 RPM,54.1 Nm (5.5 kgf-m or 39.9 ft.lbs) @ 9500 RPM,62.6 x 48.7 mm (2.5 x 1.9 inches),6-speed,Chain   (final drive),120/60-17 ,160/60-17 ,Double disc,Single disc,208.0 kg (458.6 pounds),0.3726 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",2060 mm (81.1 inches),770 mm (30.3 inches),20.00 litres (5.28 US gallons),11.3:1,4,Carburettor,Double Overhead Cams/Twin Cam (DOHC),,,,,,1440 mm (56.7 inches),,135 mm (5.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta Supermoto 50,2003,Super motard," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,,,,,,,,,90.0 kg (198.4 pounds),,"910 mm (35.8 inches) If adjustable, lowest setting.",,,6.70 litres (1.77 US gallons),,,,,,,,,,,1.00 litres (0.26 US gallons),,"Red, Black, Green, Blue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highland 950 V2 Motard,2003,Super motard," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",950.0 ccm (57.97 cubic inches),"V2, four-stroke",85.0 HP (62.0  kW)) @ 6000 RPM,103.0 Nm (10.5 kgf-m or 76.0 ft.lbs) @ 4600 RPM,95.0 x 66.0 mm (3.7 x 2.6 inches),6-speed,Chain   (final drive),,,Brembo twin caliper,Brembo single caliper,166.0 kg (366.0 pounds),0.5120 HP/kg,"910 mm (35.8 inches) If adjustable, lowest setting.",,,20.00 litres (5.28 US gallons),,4,Injection,Double Overhead Cams/Twin Cam (DOHC),Liquid,280 mm (11.0 inches),300 mm (11.8 inches),220 mm (8.7 inches),,1530 mm (60.2 inches),,300 mm (11.8 inches),,,"50 mm WP, adjustable compression and rebound","WP, adjustable stiffness, compression and rebound",,,,,CrMo steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sundiro 50 CH Greiff,2003,Scooter," 2.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),60.0 kg (132.3 pounds),,,,,3.20 litres (0.85 US gallons),,,,,Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda X8R-S,2003,Scooter," 3.4  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.4 ccm (3.01 cubic inches),"Single cylinder, two-stroke",,,,Automatic,Belt   (final drive),,,,Single disc. 220mm hydraulic disc with opposed dual- piston calliper,91.0 kg (200.6 pounds),,,,,6.00 litres (1.59 US gallons),7.0:1,,Carburettor,,Air,,,330 mm (13.0 inches),,,,,,,"31mm telescopic fork, 90mm axle travel",Unit swingarm 90mm axle travel,,CDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXD Dyna Super Glide,2003,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1449.0 ccm (88.42 cubic inches),"V2, four-stroke",,106.0 Nm (10.8 kgf-m or 78.2 ft.lbs) @ 2900 RPM,95.3 x 101.6 mm (3.8 x 4.0 inches),,Belt   (final drive),100/90-19 57H ,150/80-B16 71H ,,,300.0 kg (661.4 pounds),,"711 mm (28.0 inches) If adjustable, lowest setting.",2307 mm (90.8 inches),,18.50 litres (4.89 US gallons),8.8:1,,Carburettor,,Air,,,,,1595 mm (62.8 inches),,102 mm (4.0 inches),"Vivid black, gunmetal pearl, luxury rich red pearl, white pearl, luxury blue pearl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZXR 400,2003,Sport," 2.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",398.0 ccm (24.29 cubic inches),"In-line four, four-stroke",65.0 HP (47.4  kW)) @ 13000 RPM,36.3 Nm (3.7 kgf-m or 26.8 ft.lbs) @ 12000 RPM,,,,,,,,162.0 kg (357.1 pounds),0.4012 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",,,16.00 litres (4.23 US gallons),,,,,,,,,,1385 mm (54.5 inches),,,Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XL 650 Transalp,2003,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",647.0 ccm (39.48 cubic inches),"V2, four-stroke",53.0 HP (38.7  kW)) @ 7500 RPM,55.0 Nm (5.6 kgf-m or 40.6 ft.lbs) @ 5500 RPM,79.0 x 66.0 mm (3.1 x 2.6 inches),5-speed,Chain   (final drive),90/90-21 ,120/90-17 ,Double disc,Single disc,191.0 kg (421.1 pounds),0.2775 HP/kg,"843 mm (33.2 inches) If adjustable, lowest setting.",2257 mm (88.9 inches),922 mm (36.3 inches),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Dakota 4,2003,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1845.0 ccm (112.58 cubic inches),"In-line four, four-stroke",74.0 HP (54.0  kW)) @ 3800 RPM,168.1 Nm (17.1 kgf-m or 124.0 ft.lbs) @ 2650 RPM,,,,,,,,325.0 kg (716.5 pounds),0.2277 HP/kg,,,,18.00 litres (4.76 US gallons),,,,,,,,,,1740 mm (68.5 inches),2.50 litres (0.66 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomos Whizzr'd 50,2003,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,,,Automatic,,,,Expanding brake (drum brake),Expanding brake (drum brake),55.0 kg (121.3 pounds),,,,,4.50 litres (1.19 US gallons),,,,,Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBR 900 RR Fireblade - 954 RR,2003,Sport," 4.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",954.0 ccm (58.21 cubic inches),"In-line four, four-stroke",151.0 HP (110.2  kW)) @ 11250 RPM,105.0 Nm (10.7 kgf-m or 77.4 ft.lbs) @ 9500 RPM,75.0 x 54.0 mm (3.0 x 2.1 inches),6-speed,Chain   (final drive),120/70-17 ,190/50-17 ,Double disc,Single disc,168.0 kg (370.4 pounds),0.8988 HP/kg,"815 mm (32.1 inches) If adjustable, lowest setting.",2025 mm (79.7 inches),680 mm (26.8 inches),18.00 litres (4.76 US gallons),,,,,Liquid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XL 883C Sportster 883 Custom,2003,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",883.0 ccm (53.88 cubic inches),"V2, four-stroke",,66.5 Nm (6.8 kgf-m or 49.1 ft.lbs) @ 4500 RPM,76.2 x 96.8 mm (3.0 x 3.8 inches),,Belt   (final drive),,,,,222.0 kg (489.4 pounds),,"701 mm (27.6 inches) If adjustable, lowest setting.",2261 mm (89.0 inches),,12.50 litres (3.30 US gallons),9.0:1,,Carburettor,,Air,,,,,1524 mm (60.0 inches),,119 mm (4.7 inches),"2-tone sterling silver & vivid black, vivid black, gunmetal pearl, luxury rich red pearl, white pearl, luxury blue pearl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW Rockster,2003,Naked bike," 3.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1130.0 ccm (68.95 cubic inches),"Two cylinder boxer, four-stroke",85.0 HP (62.0  kW)) @ 6750 RPM,97.6 Nm (10.0 kgf-m or 72.0 ft.lbs) @ 5250 RPM,,,,,,,,219.0 kg (482.8 pounds),0.3881 HP/kg,"835 mm (32.9 inches) If adjustable, lowest setting.",,,20.50 litres (5.42 US gallons),,,,,,,,,,1486 mm (58.5 inches),4.00 litres (1.06 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 1200 RS,2003,Sport touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1171.0 ccm (71.45 cubic inches),"In-line four, four-stroke",130.0 HP (94.9  kW)) @ 8750 RPM,118.0 Nm (12.0 kgf-m or 87.0 ft.lbs) @ 5500 RPM,,,,,,,,285.0 kg (628.3 pounds),0.4561 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",,,20.00 litres (5.28 US gallons),,,,,,,,,,1535 mm (60.4 inches),5.00 litres (1.32 US gallons),,"Black, Blue, Blue/Red",,,,,,,,,,,,,,,,,,,,,,,,"800 mm (31.5 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,
Harley-Davidson FXDL Dyna Low Rider,2003,Custom / cruiser," 3.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1449.0 ccm (88.42 cubic inches),"V2, four-stroke",,106.0 Nm (10.8 kgf-m or 78.2 ft.lbs) @ 2900 RPM,95.3 x 101.6 mm (3.8 x 4.0 inches),,Belt   (final drive),100/90-19 57H ,150/80-B16 71H ,,,300.0 kg (661.4 pounds),,"689 mm (27.1 inches) If adjustable, lowest setting.",2330 mm (91.7 inches),,18.50 litres (4.89 US gallons),8.8:1,,Carburettor,,Air,,,,,1620 mm (63.8 inches),,85 mm (3.3 inches),"2-tone sterling silver & vivid black, vivid black, gunmetal pearl, luxury rich red pearl, white pearl, luxury blue pearl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 998,2003,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",998.0 ccm (60.90 cubic inches),"V2, four-stroke",123.0 HP (89.8  kW)) @ 9750 RPM,97.0 Nm (9.9 kgf-m or 71.5 ft.lbs) @ 8000 RPM,100.0 x 63.5 mm (3.9 x 2.5 inches),6-speed,Chain   (final drive),120/70-ZR17 ,190/50-ZR17 ,Double disc,Single disc,198.0 kg (436.5 pounds),0.6212 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",2030 mm (79.9 inches),,17.00 litres (4.49 US gallons),11.4:1,4,Injection,Desmodromic valve control,Liquid,127 mm (5.0 inches),130 mm (5.1 inches),220 mm (8.7 inches),1080 mm (42.5 inches),1410 mm (55.5 inches),4.00 litres (1.06 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZRX 1200 S,2003,Allround," 3.9  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",1164.0 ccm (71.03 cubic inches),"In-line four, four-stroke",120.0 HP (87.6  kW)),,,,,,,,,227.0 kg (500.4 pounds),0.5286 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",,,19.00 litres (5.02 US gallons),,,,Double Overhead Cams/Twin Cam (DOHC),,,,,,1465 mm (57.7 inches),,,"Green, Silver",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 500 S,2003,Allround," 3.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",498.0 ccm (30.39 cubic inches),"Twin, four-stroke",60.0 HP (43.8  kW)) @ 9800 RPM,46.1 Nm (4.7 kgf-m or 34.0 ft.lbs) @ 8500 RPM,,,,,,,,176.0 kg (388.0 pounds),0.3409 HP/kg,"775 mm (30.5 inches) If adjustable, lowest setting.",,,18.00 litres (4.76 US gallons),,,,,,,,,,1435 mm (56.5 inches),,,"Red, Silver",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XL 1200C Sportster 1200 Custom,2003,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1199.0 ccm (73.16 cubic inches),"V2, four-stroke",,87.0 Nm (8.9 kgf-m or 64.2 ft.lbs) @ 3900 RPM,88.8 x 96.8 mm (3.5 x 3.8 inches),,Belt   (final drive),,,,,245.0 kg (540.1 pounds),,"700 mm (27.6 inches) If adjustable, lowest setting.",2245 mm (88.4 inches),,12.50 litres (3.30 US gallons),9.0:1,,Carburettor,Overhead Valves (OHV),Air,,,,,1510 mm (59.4 inches),,159 mm (6.3 inches),"2-tone sterling silver & vivid black, vivid black, gunmetal pearl, luxury rich red pearl, white pearl, luxury blue pearl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kangda ZS 125-II TT,2003,Naked bike," 2.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",,,,,,,,,,115.0 kg (253.5 pounds),,,,,,,,,,,,,,,,,,Yellow/Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ 1000 S,2003,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",998.0 ccm (60.90 cubic inches),"Twin, four-stroke",115.0 HP (83.9  kW)) @ 9000 RPM,98.0 Nm (10.0 kgf-m or 72.3 ft.lbs) @ 7000 RPM,96.0 x 69.0 mm (3.8 x 2.7 inches),6-speed,Chain   (final drive),120/70-17 ,180/55-17 ,Double disc,Single disc,210.0 kg (463.0 pounds),0.5476 HP/kg,,,,20.00 litres (5.28 US gallons),,4,Injection,Double Overhead Cams/Twin Cam (DOHC),Liquid,,,240 mm (9.4 inches),,1425 mm (56.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati Supersport 1000 DS Half-fairing,2003,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",992.0 ccm (60.53 cubic inches),"V2, four-stroke",85.5 HP (62.4  kW)) @ 7750 RPM,87.5 Nm (8.9 kgf-m or 64.5 ft.lbs) @ 5750 RPM,94.0 x 71.5 mm (3.7 x 2.8 inches),6-speed,Chain   (final drive),120/70-ZR17 ,180/55-ZR17 ,Double disc,Single disc,185.2 kg (408.3 pounds),0.4617 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",2030 mm (79.9 inches),,16.00 litres (4.23 US gallons),10.0:1,2,Injection,Desmodromic valve control,Air,120 mm (4.7 inches),145 mm (5.7 inches),245 mm (9.6 inches),1110 mm (43.7 inches),1395 mm (54.9 inches),4.00 litres (1.06 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki TL 1000 R,2003,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",996.0 ccm (60.78 cubic inches),"V2, four-stroke",,,98.0 x 66.0 mm (3.9 x 2.6 inches),6-speed,Chain   (final drive),120/70-ZR17 ,190/50-ZR17 ,Double disc,Single disc,197.0 kg (434.3 pounds),,"825 mm (32.5 inches) If adjustable, lowest setting.",2100 mm (82.7 inches),740 mm (29.1 inches),17.00 litres (4.49 US gallons),11.7:1,4,Injection,Double Overhead Cams/Twin Cam (DOHC),Liquid,,,,1120 mm (44.1 inches),1395 mm (54.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 749,2003,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",103.0 HP (75.2  kW)) @ 10000 RPM,77.0 Nm (7.9 kgf-m or 56.8 ft.lbs) @ 8500 RPM,90.0 x 58.8 mm (3.5 x 2.3 inches),6-speed,Chain   (final drive),120/70-ZR17 ,180/55-ZR17 ,Double disc,Single disc,197.0 kg (434.3 pounds),0.5228 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",2095 mm (82.5 inches),,15.50 litres (4.10 US gallons),11.7:1,4,Injection,Desmodromic valve control,Liquid,125 mm (4.9 inches),128 mm (5.0 inches),240 mm (9.4 inches),1090 mm (42.9 inches),1420 mm (55.9 inches),3.00 litres (0.79 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna SM 450 R,2003,Super motard," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",449.0 ccm (27.40 cubic inches),"Single cylinder, four-stroke",,,,,,,,,,123.9 kg (273.2 pounds),,"910 mm (35.8 inches) If adjustable, lowest setting.",,,11.70 litres (3.09 US gallons),,,,,,,,,,1495 mm (58.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki SV 1000 S,2003,Naked bike," 4.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",996.0 ccm (60.78 cubic inches),"V2, four-stroke",120.0 HP (87.6  kW)) @ 9000 RPM,102.0 Nm (10.4 kgf-m or 75.2 ft.lbs) @ 7200 RPM,90.8 x 66.0 mm (3.6 x 2.6 inches),6-speed,Chain   (final drive),120/70-17 ,180/55-17 ,Double disc,Single disc,189.0 kg (416.7 pounds),0.6349 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",2130 mm (83.9 inches),730 mm (28.7 inches),17.00 litres (4.49 US gallons),11.3:1,4,Injection,Double Overhead Cams/Twin Cam (DOHC),,,,,,1435 mm (56.5 inches),,140 mm (5.5 inches),,,,,,,,,,,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
