Model,Year,Category,Rating,Displacement,Engine type,Torque,Fuel system,Cooling system,Gearbox,Front tire,Rear tire,Front brakes,Rear brakes,Dry weight,Overall height,Overall length,Overall width,Power,Top speed,Compression,Valves per cylinder,Fuel control,Transmission type,Frame type,Power/weight ratio,Seat height,Ground clearance,Wheelbase,Fuel capacity,Starter,Comments,Bore x stroke,Clutch,Fuel consumption,Greenhouse gases,Exhaust system,Rake (fork angle),"Weight incl. oil, gas, etc",Color options,Ignition,Trail,Front suspension,Rear suspension,Lubrication system,Diameter,Reserve fuel capacity,Modifications compared to previous model,Front wheel travel,Rear wheel travel,Engine details,Oil capacity,Engine oil,Oil filter,Brake fluid,Battery,Spark plugs,Sprockets,Belt teeth,Fork tube size,0-100 km/h (0-62 mph),Front percentage of weight,Rear percentage of weight,Coolant,Idle speed,Chain size,Chain links,Tire pressure front,Tire pressure rear,1/4 mile (0.4 km),Max RPM,Alternate seat height,Electrical,Belt width,Pulley teeth,Driveline,Wheels
Chang-Jiang BD 50QT-5D 150,2007,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",,,Air,,3.5-10 ,3.5-10 ,"Single disc. Hand operation, disc","Expanding brake (drum brake). Hand operation, drum",90.0 kg (198.4 pounds),1085 mm (42.7 inches),1857 mm (73.1 inches),670 mm (26.4 inches),3.6 HP (2.6  kW)) @ 6500 RPM,45.0 km/h (28.0 mph),7.0:1,,,,,0.0402 HP/kg,,110 mm (4.3 inches),1300 mm (51.2 inches),6.00 litres (1.59 US gallons),Electric & kick,,40.0 x 39.2 mm (1.6 x 1.5 inches),Centrifugal,1.90 litres/100 km (52.6 km/l or 123.80 mpg),44.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,CDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victory Hammer S,2007,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1634.0 ccm (99.71 cubic inches),"V2, four-stroke",,Injection.  Electronic Fuel Injection with 44mm throttle bodies,Air,6-speed,130/70-R18 ,250/40-18 ,Double disc. 4-piston caliper,Single disc. 2-piston caliper,298.0 kg (657.0 pounds),,2355 mm (92.7 inches),,,,,4,,Belt   (final drive),,,"671 mm (26.4 inches) If adjustable, lowest setting.",,1669 mm (65.7 inches),17.03 litres (4.50 US gallons),Electric,,101.0 x 102.0 mm (4.0 x 4.0 inches),"Wet, multi-plate",,,Staggered slash-cut dual exhaust with common volume,32.9°,,Sunset Red and Black,,141 mm (5.6 inches),"Inverted cartridge telescopic fork, 43mm fork tube, 5.1in/130mm travel","Single, mono-tube gas, forged and cast aluminum with rising rate linkage swing-arm, 3.9in/100mm travel, preload adjustable spring",,300 mm (11.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kymco YUP50,2007,Scooter," 3.0  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.5 ccm (3.02 cubic inches),"Single cylinder, two-stroke",5.5 Nm (0.6 kgf-m or 4.1 ft.lbs) @ 6500 RPM,,Air,Automatic,120/70-12 ,130/70-12 ,Single disc,Expanding brake (drum brake),97.0 kg (213.8 pounds),1125 mm (44.3 inches),1927 mm (75.9 inches),700 mm (27.6 inches),,,,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia RS 125,2007,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",124.8 ccm (7.62 cubic inches),"Single cylinder, two-stroke",,Carburettor.  Dell’Orto PHBH 28,Liquid,6-speed,110/70-17 ,150/60-17 ,Double disc,Single disc,,,2015 mm (79.3 inches),,,,12.5:1,,,,"Cast aluminium, reinforced box section, sloping twin-spar frame.",,,,1345 mm (53.0 inches),14.00 litres (3.70 US gallons),,,54.0 x 54.5 mm (2.1 x 2.1 inches),Multiple disk in oil bath,,,,,,,CDI,,"Upside-down hydraulic action telescopic fork, 40 mm Ø inners.","Cast aluminium swing-arm with asymmetrical members, thin walled structural shell, single hydraulic monoshock, adjustable spring preload.","Separate mixing with variable displacement, volumetric pump.",220 mm (8.7 inches),,,120 mm (4.7 inches),120 mm (4.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R1200GS,2007,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",1170.0 ccm (71.39 cubic inches),"Two cylinder boxer, four-stroke",115.0 Nm (11.7 kgf-m or 84.8 ft.lbs) @ 5500 RPM,Injection. Electronic fuel injection ,Oil & air,6-speed,110/80-H19 ,150/70-H17 ,Double disc. Four-piston calipers. ,Single disc. Two-piston calipers. ,199.0 kg (438.7 pounds),895 mm (35.2 inches),2210 mm (87.0 inches),,102.0 HP (74.5  kW)) @ 7000 RPM,213.0 km/h (132.4 mph),11.0:1,4,,Shaft drive (cardan)   (final drive),Tubular,0.5126 HP/kg,"840 mm (33.1 inches) If adjustable, lowest setting.",,1519 mm (59.8 inches),20.00 litres (5.28 US gallons),Electric,,101.0 x 73.0 mm (4.0 x 2.9 inches),"Hydraulic, dry, single-disk ",5.50 litres/100 km (18.2 km/l or 42.77 mpg),127.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,225.0 kg (496.0 pounds),"Desert Yellow Metallic, Rock Red Metallic, Ocean Blue Metallic, Granite Grey Metallic",BMS-K,101 mm (4.0 inches),Telelever ,EVO Paralever ,,265 mm (10.4 inches),4.00 litres (1.06 US gallons),,190 mm (7.5 inches),200 mm (7.9 inches),,4.00 litres (4.23 US quarts),"CA. 3,5 L 15W-50",HiFloFiltro HF164,DOT 4,HJTX14H-FP-IL,"NGK DCPR8EKC, NGK DCPR8EIX",,,41 mm (1.6 inches),,,,,1150  +/- 50  RPM,,,32 PSI (2.2 Bar or 220 kPa),36 PSI (2.5 Bar or 250 kPa),,,,"Battery 12 V  14 Ah, maintenance-free battery",,,,
Diamo Tracer 250,2007,Scooter," 2.5  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",248.0 ccm (15.13 cubic inches),"Single cylinder, four-stroke",,Carburettor. Keihin,Liquid,Automatic,130/60-13 ,130/60-13 ,Single disc. ABS system,Single disc. ABS system,118.8 kg (262.0 pounds),,,,17.0 HP (12.4  kW)),128.7 km/h (80.0 mph),,1,,Belt   (final drive),,0.1430 HP/kg,"737 mm (29.0 inches) If adjustable, lowest setting.",,1346 mm (53.0 inches),7.57 litres (2.00 US gallons),Electric & kick,,,Automatic,3.13 litres/100 km (31.9 km/l or 75.15 mpg),72.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generic Trigger SM 50,2007,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.8 ccm (3.04 cubic inches),"Single cylinder, two-stroke",5.4 Nm (0.5 kgf-m or 4.0 ft.lbs) @ 7000 RPM,,Air,6-speed,100/80-17 ,130/80-17 ,,,99.0 kg (218.3 pounds),,2010 mm (79.1 inches),900 mm (35.4 inches),5.7 HP (4.2  kW)) @ 7500 RPM,,,,,Chain   (final drive),,0.0575 HP/kg,"895 mm (35.2 inches) If adjustable, lowest setting.",320 mm (12.6 inches),1386 mm (54.6 inches),4.20 litres (1.11 US gallons),Electric & kick,,,,,,,,,"Blue, yellow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBF1000F,2007,Allround," 3.8  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",998.0 ccm (60.90 cubic inches),"In-line four, four-stroke",97.0 Nm (9.9 kgf-m or 71.5 ft.lbs) @ 6500 RPM,Injection.  PGM-FI electronic fuel injection ,Liquid,6-speed,,,Double disc,Single disc,220.0 kg (485.0 pounds),,2176 mm (85.7 inches),,114.0 HP (83.2  kW)) @ 7500 RPM,,11.0:1,,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),,0.5182 HP/kg,"795 mm (31.3 inches) If adjustable, lowest setting.",135 mm (5.3 inches),1483 mm (58.4 inches),19.00 litres (5.02 US gallons),Electric,Also available with ABS.,75.0 x 56.5 mm (3.0 x 2.2 inches),,,,,,,,Computer-controlled digital transistorised with electronic advance ,,"41 mm cartridge-type telescopic fork, 120 mm axle travel ","Pro-Link with gas-charges HMAS damper, 120 mm axle travel ",,240 mm (9.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keeway F-act 50,2007,Scooter," 3.7  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.3 ccm (3.01 cubic inches),"Single cylinder, two-stroke",3.9 Nm (0.4 kgf-m or 2.9 ft.lbs) @ 7000 RPM,,,Automatic,120/70-12 ,130/70-12 ,Single disc,Expanding brake (drum brake),86.0 kg (189.6 pounds),1100 mm (43.3 inches),1800 mm (70.9 inches),700 mm (27.6 inches),3.4 HP (2.5  kW)) @ 7000 RPM,45.0 km/h (28.0 mph),6.9:1,,,,,0.0400 HP/kg,,90 mm (3.5 inches),1270 mm (50.0 inches),,,,40.0 x 39.2 mm (1.6 x 1.5 inches),"Dry, centrifugal CVT system",2.00 litres/100 km (50.0 km/l or 117.61 mpg),46.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,CDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli Tornado Naked Tre Sport,2007,Naked bike," 3.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1130.0 ccm (68.95 cubic inches),"In-line three, four-stroke",117.0 Nm (11.9 kgf-m or 86.3 ft.lbs) @ 6750 RPM,Injection.  Electronic injection with 1 injector per cylinder,Liquid,6-speed,120/70-17 ,120/70-17 ,Double disc. Bremo,Single disc. Bremo,199.0 kg (438.7 pounds),,,,135.4 HP (98.9  kW)) @ 9250 RPM,,11.5:1,4,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),"Mixed solution. Front ASD steel tube trellis,",0.6806 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",,1419 mm (55.9 inches),,,,88.0 x 62.0 mm (3.5 x 2.4 inches),Wet clutch,,,,,,,Single coil inductive discharge electronic ignition,,Marzocchi “upside down” fork,"ASD steel tube trellis swingarm with Extreme Technology                            single shock absorber with double Adjustment for damping,                            rebound and spring load.",Wet sump,240 mm (9.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Burgman 125,2007,Scooter," 3.0  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",,Injection,Liquid,Automatic,110/90-M13 ,"130/70-P,12 ",Single disc,Single disc,148.0 kg (326.3 pounds),1240 mm (48.8 inches),2055 mm (80.9 inches),740 mm (29.1 inches),,,11.6:1,,Single Overhead Cams (SOHC),Belt   (final drive),,,"735 mm (28.9 inches) If adjustable, lowest setting.",,1465 mm (57.7 inches),11.00 litres (2.91 US gallons),Electric,,57.0 x 48.8 mm (2.2 x 1.9 inches),,,,,,,,Overall length:,,"Telescopic, coil sprung, oil damped","Swingarm type, coilspring, oildamped",Wet Sump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBK Booster Naked,2007,Scooter," 2.8  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",3.6 Nm (0.4 kgf-m or 2.7 ft.lbs) @ 6000 RPM,Carburettor. GURTNER PY-12,Air,Automatic,120/90-10 ,150/80-10 ,"Single disc. Disc, Ø 180","Expanding brake (drum brake). Drum, Ø 110",75.0 kg (165.3 pounds),1049 mm (41.3 inches),1685 mm (66.3 inches),675 mm (26.6 inches),3.2 HP (2.3  kW)) @ 6500 RPM,,,,,Belt   (final drive),,0.0428 HP/kg,"768 mm (30.2 inches) If adjustable, lowest setting.",124 mm (4.9 inches),1172 mm (46.1 inches),5.30 litres (1.40 US gallons),Electric & kick,,40.0 x 39.2 mm (1.6 x 1.5 inches),,,,,,,"Jet Black, Black Pearl,",Electronic (C.D.I.),,Hydraulic and telescopic fork,Hydraulic unit swing,Separate lubrication,,,,70 mm (2.8 inches),70 mm (2.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 250 SX,2007,Cross / motocross," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, two-stroke",,Carburettor.  Keihin PWK 36 S AG,Liquid,5-speed,80/100-21 ,110/90-19 ,Single disc,Single disc,97.7 kg (215.4 pounds),,,,,,,,,Chain   (final drive),Central double-cradle-type 25CrMo4,,"925 mm (36.4 inches) If adjustable, lowest setting.",385 mm (15.2 inches),1475 mm (58.1 inches),7.50 litres (1.98 US gallons),Kick,,66.4 x 72.0 mm (2.6 x 2.8 inches),"Wet multi-disc clutch, operated hydraulically",,,Aluminium,26.5°,,,Kokusan digital 2K-1,,WP USD 48 mm,WP monoshock PDS,Mixture oil lubrication 1:60,,,,115 mm (4.5 inches),185 mm (7.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
DB Motors Pirat LC  12-10 inch wheels,2007,"Minibike, cross",Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,49.8 ccm (3.04 cubic inches),"Single cylinder, two-stroke",,Carburettor.  Dell’Orto PHBG 19,Liquid,Automatic,2.50-12 ,2.75-10 ,Single disc. 180 mm disc brake with hydr. master cylinder and calliper,Single disc. Hydraulic rear foot brake,44.5 kg (98.1 pounds),930 mm (36.6 inches),1400 mm (55.1 inches),300 mm (11.8 inches),12.0 HP (8.8  kW)) @ 14500 RPM,,15.5:1,,,,Single steel beam frame,0.2697 HP/kg,"690 mm (27.2 inches) If adjustable, lowest setting.",,957 mm (37.7 inches),3.50 litres (0.92 US gallons),Kick,,39.0 x 41.7 mm (1.5 x 1.6 inches),Automatic centrifugal,,,Racing-type with aluminium   muffler,,,,Electronic,,Magnum 32mm hydraulic telescopic   fork,Special racing gas-operated shock  absorber,,180 mm (7.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piaggio Liberty 125 4 Stroke,2007,Scooter," 3.5  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",10.2 Nm (1.0 kgf-m or 7.5 ft.lbs) @ 6500 RPM,Carburettor,Air,Automatic,90/80-16 ,110/80-14 ,Single disc,Expanding brake (drum brake),99.0 kg (218.3 pounds),,1935 mm (76.2 inches),675 mm (26.6 inches),10.0 HP (7.3  kW)) @ 8000 RPM,,10.6:1,2,Single Overhead Cams (SOHC),,Steel tubes,0.1010 HP/kg,"775 mm (30.5 inches) If adjustable, lowest setting.",,,6.00 litres (1.59 US gallons),Electric,,57.0 x 48.6 mm (2.2 x 1.9 inches),Dry automatic centrifugal type,3.57 litres/100 km (28.0 km/l or 65.89 mpg),82.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,Inductive,,"Ttelehydraulic fork, 76 mm travel","Hydraulic monoshock, 4 position spring preload, 85.5 mm travel",Wet sump,140 mm (5.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVS Scooty PEP,2007,Scooter," 3.5  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",74.6 ccm (4.55 cubic inches),"Single cylinder, four-stroke",,,Air,Automatic,2.75-10 ,2.75-10 ,Expanding brake (drum brake),Expanding brake (drum brake),85.0 kg (187.4 pounds),,,,4.0 HP (2.9  kW)) @ 6500 RPM,,,,,,,0.0473 HP/kg,,135 mm (5.3 inches),1230 mm (48.4 inches),5.00 litres (1.32 US gallons),,,,,,,,,,"Black, blue, red, silver, green",CDI,,,,,110 mm (4.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veli VL150T-2 EEC,2007,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,149.0 ccm (9.09 cubic inches),"Single cylinder, four-stroke",,,Air,,,,Single disc,Single disc,128.0 kg (282.2 pounds),1420 mm (55.9 inches),2180 mm (85.8 inches),750 mm (29.5 inches),,100.0 km/h (62.1 mph),,,,,,,,,1510 mm (59.4 inches),,Electric & kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridley Auto-Glide Classic,2007,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",738.0 ccm (45.03 cubic inches),"V2, four-stroke",,,Air,Automatic,,,Single disc. 4 piston,Single disc. 4-piston,199.6 kg (440.0 pounds),,2464 mm (97.0 inches),940 mm (37.0 inches),,,8.5:1,2,,Belt   (final drive),,,"622 mm (24.5 inches) If adjustable, lowest setting.",140 mm (5.5 inches),1702 mm (67.0 inches),15.89 litres (4.20 US gallons),Electric,,,,,,Straight/baffled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polini 911 GP4 Reverse,2007,"Minibike, sport"," 3.1  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",39.9 ccm (2.43 cubic inches),"Single cylinder, two-stroke",,Carburettor. SHA 14.14,,,90/65-R6.5 ,110/50-R6.5 ,Single disc,Single disc,22.0 kg (48.5 pounds),,960 mm (37.8 inches),240 mm (9.4 inches),6.2 HP (4.5  kW)),,,,,,Latticed tubular frame,0.2818 HP/kg,"425 mm (16.7 inches) If adjustable, lowest setting.",,,2.20 litres (0.58 US gallons),Kick,,36.0 x 39.2 mm (1.4 x 1.5 inches),Dry with centrifuge counter weights,,,,,,,Electronic,,,,,130 mm (5.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wakan Road 1640,2007,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1640.0 ccm (100.07 cubic inches),"V2, four-stroke",165.0 Nm (16.8 kgf-m or 121.7 ft.lbs) @ 4250 RPM,Carburettor. Keihin,,5-speed,120/70-17 ,180/55-17 ,Single disc,Double disc,177.0 kg (390.2 pounds),,,,115.0 HP (83.9  kW)) @ 6250 RPM,,,4,Overhead Cams (OHC),Chain   (final drive),,0.6497 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",,1370 mm (53.9 inches),13.00 litres (3.43 US gallons),Electric,Limited edition bike made in France.,101.6 x 101.6 mm (4.0 x 4.0 inches),,,,,,,"White, blue, black",,,,,,220 mm (8.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta Ark K,2007,Scooter," 3.0  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.2 ccm (3.00 cubic inches),"Single cylinder, two-stroke",,,Liquid,,130/60-13 ,130/60-13 ,,,,,,,,,,,,,,,,,,7.50 litres (1.98 US gallons),Electric & kick,,,,,,,,,,,,Hydraulic fork,Monoshock,,,,,32 mm (1.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa-CZ 125 Dakar,2007,Enduro / offroad," 2.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",9.2 Nm (0.9 kgf-m or 6.8 ft.lbs) @ 7000 RPM,Carburettor,Air,5-speed,,,Single disc,Single disc,103.0 kg (227.1 pounds),,,,12.6 HP (9.2  kW)) @ 8200 RPM,108.0 km/h (67.1 mph),9.0:1,,,Chain   (final drive),,0.1223 HP/kg,"830 mm (32.7 inches) If adjustable, lowest setting.",,1330 mm (52.4 inches),13.50 litres (3.57 US gallons),Kick,,56.5 x 49.5 mm (2.2 x 1.9 inches),,,,,,,Red,,,Telescopic forks,Central hydraulic,,180 mm (7.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kymco New DINK (E3),2007,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.6 ccm (7.60 cubic inches),"Single cylinder, four-stroke",9.8 Nm (1.0 kgf-m or 7.2 ft.lbs) @ 6000 RPM,,Liquid,Automatic,120/70-13 ,140/70-12 ,Single disc,Single disc,138.0 kg (304.2 pounds),1255 mm (49.4 inches),2030 mm (79.9 inches),760 mm (29.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kymco Vitality (4T) 50,2007,Scooter," 2.5  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.4 ccm (3.01 cubic inches),"Single cylinder, four-stroke",3.6 Nm (0.4 kgf-m or 2.7 ft.lbs) @ 6500 RPM,,Air,Automatic,120/70-12 ,130/70-12 ,Single disc,Expanding brake (drum brake),98.0 kg (216.1 pounds),1120 mm (44.1 inches),1940 mm (76.4 inches),700 mm (27.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veli VL200GY-2,2007,Cross / motocross," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",200.0 ccm (12.20 cubic inches),"Single cylinder, four-stroke",11.0 Nm (1.1 kgf-m or 8.1 ft.lbs) @ 7500 RPM,,Air,,110/70-19 ,110/90-16 ,,,120.0 kg (264.6 pounds),820 mm (32.3 inches),1870 mm (73.6 inches),760 mm (29.9 inches),14.5 HP (10.6  kW)) @ 9000 RPM,90.0 km/h (55.9 mph),9.0:1,,,Chain   (final drive),,0.1207 HP/kg,"620 mm (24.4 inches) If adjustable, lowest setting.",,1240 mm (48.8 inches),6.00 litres (1.59 US gallons),,,62.0 x 63.0 mm (2.4 x 2.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buell Lightning Super TT XB12STT,2007,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1202.9 ccm (73.40 cubic inches),"V2, four-stroke",113.9 Nm (11.6 kgf-m or 84.0 ft.lbs) @ 6000 RPM,Injection.  49 mm down draft DDFI II,Oil & air,5-speed,120/70-ZR17 ,180/55-ZR17 ,Single disc,Single disc,181.4 kg (400.0 pounds),,2080 mm (81.9 inches),820 mm (32.3 inches),103.0 HP (75.2  kW)) @ 6800 RPM,,10.0:1,2,Overhead Valves (OHV),Belt   (final drive),Aluminum frame with Uniplanar,0.5677 HP/kg,,,1372 mm (54.0 inches),16.65 litres (4.40 US gallons),Electric,,,"Wet, multi-plate,",,,"Tuned, tri-pass resonance chamber with InterActive valve and mass-centralized mounting",23.1°,,Arctic White and Barricade Orange,,119 mm (4.7 inches),"43 mm Showa® inverted forks with adjustable compression damping, rebound damping and spring preload","Showa® coil-over monoshock with remote, under-seat reservoir and adjustable compression damping, rebound damping and spring preload",,,,,143 mm (5.6 inches),143 mm (5.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Chang-Jiang BD50QT-9 125,2007,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",,,Air,,130/60-13 ,130/60-13 ,"Single disc. Hand operation, disc","Expanding brake (drum brake). Hand operation, drum",97.0 kg (213.8 pounds),1095 mm (43.1 inches),1955 mm (77.0 inches),700 mm (27.6 inches),3.4 HP (2.4  kW)) @ 7000 RPM,45.0 km/h (28.0 mph),10.5:1,,,Belt   (final drive),,0.0345 HP/kg,,120 mm (4.7 inches),1380 mm (54.3 inches),6.00 litres (1.59 US gallons),Electric & kick,,,Centrifugal,1.90 litres/100 km (52.6 km/l or 123.80 mpg),44.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,CDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sym HD 125,2007,Scooter," 3.6  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.5 ccm (7.60 cubic inches),"Single cylinder, four-stroke",10.9 Nm (1.1 kgf-m or 8.0 ft.lbs) @ 6500 RPM,,,,,,Single disc,Expanding brake (drum brake),135.0 kg (297.6 pounds),1385 mm (54.5 inches),2064 mm (81.3 inches),706 mm (27.8 inches),12.5 HP (9.1  kW)) @ 8500 RPM,,10.5:1,,,,,0.0926 HP/kg,,,1385 mm (54.5 inches),8.00 litres (2.11 US gallons),Electric,,,,,,,,,"Blue, Gray, Red, Silver",,,,,,130 mm (5.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
